datasetKey,name,created,modified
4fa7b334-ce0d-4e88-aaae-2e0c138d049e,EOD - eBird Observation Dataset,2010-09-16T11:58:24.000+0000,2020-06-30T08:49:59.103+0000
50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,2012-02-09T09:15:33.000+0000,2020-10-04T11:42:38.282+0000
821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Specimen Records,2016-10-13T13:16:51.138+0000,2020-09-30T07:52:09.466+0000
82cb293c-f762-11e1-a439-00145eb45e9a,Great Backyard Bird Count,2007-04-03T12:40:17.000+0000,2018-03-06T15:36:29.835+0000
7bd65a7a-f762-11e1-a439-00145eb45e9a,Tropicos Specimen Data,2007-04-02T22:00:00.000+0000,2020-09-03T09:49:28.070+0000
d415c253-4d61-4459-9d25-4015b9084fb0,The New York Botanical Garden Herbarium (NY),2015-06-18T17:37:36.748+0000,2020-09-30T18:40:00.841+0000
4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,"Museum of Comparative Zoology, Harvard University",2012-04-10T14:52:47.000+0000,2020-10-02T01:35:41.628+0000
861e6afe-f762-11e1-a439-00145eb45e9a,Harvard University Herbaria: All Records,2007-07-09T12:31:16.000+0000,2020-09-30T02:54:26.305+0000
aae308f4-9f9c-4cdd-b4ef-c026f48be551,Snow Entomological Museum Collection,2011-11-07T20:59:56.000+0000,2020-09-30T20:10:39.081+0000
bb5b30b4-827e-4d5e-a86a-825d65cb6583,Paleobiology Database,2017-11-06T00:56:53.625+0000,2017-11-06T00:58:45.887+0000
31a35af0-c997-4f76-b045-9942bc14b896,USGS GAP - Alaska - Vertebrates - 1867-2009,2020-07-31T18:32:06.132+0000,2020-08-03T13:50:34.590+0000
7fd12114-9010-4c13-8f46-990fe04ca882,NatureServe Network Species Occurrence Data,2014-04-30T14:50:06.371+0000,2019-05-02T15:13:19.037+0000
c8d12f8a-7e39-4e2c-92d7-825d590ad15b,University of Michigan Herbarium,2019-01-23T03:58:17.898+0000,2020-09-25T17:29:37.488+0000
e0ae862b-d456-4cb2-900b-c4928b75a1f8,Multistate Aquatic Resources Information System - MARIS - Fish,2020-08-03T22:29:51.419+0000,2020-08-10T22:57:42.446+0000
864c8736-f762-11e1-a439-00145eb45e9a,Point Reyes Bird Observatory - Point Counts,2007-08-06T09:50:50.000+0000,2018-03-06T14:11:32.609+0000
b929f23d-290f-4e85-8f17-764c55b3b284,Bernice P. Bishop Museum,2012-10-23T15:55:28.000+0000,2017-05-31T18:42:09.318+0000
96c93a1e-f762-11e1-a439-00145eb45e9a,AMNH Bird Collection,2009-07-29T12:51:54.000+0000,2017-05-31T18:42:26.343+0000
13b70480-bd69-11dd-b15f-b8a03c50a862,AntWeb,2010-05-03T22:02:18.000+0000,2020-09-29T23:37:19.607+0000
df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA Deep Sea Corals Research and Technology Program,2016-06-06T18:27:32.909+0000,2020-07-28T16:19:27.703+0000
c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,NMNH Paleobiology Specimen Records,2016-10-13T13:16:01.244+0000,2020-09-30T07:46:38.296+0000
90c853e6-56bd-480b-8e8f-6285c3f8d42b,Field Museum of Natural History (Botany)  Seed Plant Collection,2012-07-11T17:02:13.000+0000,2020-05-11T20:38:51.974+0000
68513375-3aa5-4f6f-9975-d97d56c21d61,Illinois Natural History Survey Insect Collection,2011-09-05T07:33:37.000+0000,2016-08-18T12:32:37.996+0000
85b1cfb6-f762-11e1-a439-00145eb45e9a,UF Invertebrate Zoology,2007-04-21T19:29:34.000+0000,2020-09-22T18:53:14.760+0000
8648fdbe-f762-11e1-a439-00145eb45e9a,Hawk Migration Association of North America - HawkCount,2007-08-01T14:48:02.000+0000,2018-03-06T14:23:42.743+0000
c3969d4c-b9c1-439a-96be-ebf369f17a0c,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens),2019-05-29T15:27:08.612+0000,2020-07-03T03:02:33.077+0000
1d39953f-5c1a-4dad-8524-70191eb4fe6c,SEFSC CAGES Alabama Fish Length Data with CPUE,2016-05-23T22:52:11.649+0000,2020-06-16T21:20:31.532+0000
f934f8e2-32ca-46a7-b2f8-b032a4740454,CAS Botany (BOT),2012-04-18T23:01:51.000+0000,2020-09-29T23:33:02.148+0000
7a25f7aa-03fb-4322-aaeb-66719e1a9527,LACM Vertebrate Collection,2012-06-25T16:54:50.000+0000,2019-12-31T15:23:00.978+0000
262f8270-f9c2-4bc6-a562-8ed71c0790e6,"Stuart M. Fullerton Collection of Arthropods (UCFC), University of Central Florida",2013-12-18T16:49:50.272+0000,2018-10-25T13:47:54.392+0000
10e44c48-0839-4a20-86d5-f0e23ae2e366,Bee Biology and Systematics Laboratory,2011-11-22T21:16:46.000+0000,2019-12-02T15:31:22.504+0000
9781ce05-2379-4a10-ab3b-c91346510df8,RSA - Rancho Santa Ana Botanic Garden Herbarium,2019-10-24T14:23:35.375+0000,2020-05-04T22:56:22.119+0000
854bc2fc-f762-11e1-a439-00145eb45e9a,"Invertebrate Paleontology Division, Yale Peabody Museum",2007-04-03T12:40:17.000+0000,2020-09-28T17:33:12.982+0000
f3f03cbf-1a01-4739-ae15-c1355b8c2dbf,Carnegie Museum of Natural History Herbarium,2019-11-11T13:00:08.747+0000,2020-09-17T19:47:26.185+0000
36f15a36-6b45-442e-9c31-cd633423aee0,Field Museum of Natural History (Zoology) Bird Collection,2012-07-12T19:08:08.000+0000,2020-05-11T18:18:48.909+0000
d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,USGS Nonindigenous Aquatic Species database,2012-06-18T14:09:21.000+0000,2020-10-02T19:13:22.074+0000
58d0f326-2e85-4d0a-a744-571461220f00,University of California Museum of Paleontology,2013-05-15T19:25:37.000+0000,2020-10-03T05:54:56.581+0000
84ab7b76-f762-11e1-a439-00145eb45e9a,"C.A. Triplehorn Insect Collection (OSUC), Ohio State University",2007-04-03T12:40:17.000+0000,2018-03-08T19:33:28.407+0000
cca13f2c-0d2c-4c2f-93b9-4446c0cc1629,"BugGuide - Identification, Images, & Information For Insects, Spiders & Their Kin For the United States & Canada",2018-05-30T19:52:35.854+0000,2020-02-24T16:18:28.028+0000
cd096ec0-a8a0-4c65-92cc-48b00fb934ce,Plant Resources Center,2020-07-09T19:30:52.012+0000,2020-10-02T18:41:05.990+0000
9654e4d4-f762-11e1-a439-00145eb45e9a,KU Museum of Invertebrate Paleontology,2009-03-30T18:26:49.000+0000,2020-10-01T13:38:48.379+0000
2fba9985-ac30-46cb-99bf-91ccde0d8d2f,University of Florida Vertebrate Paleontology,2015-08-04T14:56:29.383+0000,2020-09-17T14:47:37.588+0000
fe388907-e2b6-44be-a9cb-a80b3924284c,Northeast Fisheries Science Center Bottom Trawl Survey Data,2020-06-26T19:55:20.895+0000,2020-06-26T19:58:23.859+0000
c42d2f75-d18d-4cee-88ca-e6be0515be9b,NOAA Southeast Fisheries Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data,2020-08-04T22:46:57.750+0000,2020-08-04T22:48:06.852+0000
7931dcab-94f1-46ce-8092-56e4335423de,"Field Museum of Natural History (Zoology) Insect, Arachnid and Myriapod Collection",2012-07-10T19:56:59.000+0000,2020-10-01T22:31:27.162+0000
27b4ff4b-29c3-4017-9c48-3750861392f7,University of North Carolina at Chapel Hill Herbarium,2019-04-02T12:26:15.335+0000,2020-06-19T14:59:58.323+0000
f519367d-6b9d-411c-b319-99424741e7de,USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML),2017-04-17T19:58:08.355+0000,2020-02-18T15:13:13.636+0000
86b50d88-f762-11e1-a439-00145eb45e9a,MAL,2007-12-20T13:25:20.000+0000,2018-03-07T16:54:52.621+0000
96193ea2-f762-11e1-a439-00145eb45e9a,Texas A&M University Insect Collection,2009-01-07T13:58:36.000+0000,2018-02-28T17:56:06.931+0000
a56671b7-f619-4f49-9250-dfa7c0b298dc,USGS Patuxent Wildlife Research Center Seabirds Compendium,2016-09-02T14:37:31.734+0000,2020-06-16T21:20:32.041+0000
cf7d6c01-309b-4545-8319-3d53b1e8bfd0,Monarch Watch,2018-05-30T21:15:22.019+0000,2020-01-08T15:29:10.329+0000
96404cc2-f762-11e1-a439-00145eb45e9a,"Entomology Division, Yale Peabody Museum",2009-03-13T13:26:48.000+0000,2020-10-05T04:51:44.164+0000
8044ee43-c5fe-44da-ad96-cc1a9cfb91ba,UAM Insect Collection (Arctos),2013-03-26T17:16:38.000+0000,2020-10-01T00:02:24.716+0000
dce00a1f-f6b4-4e11-9771-92c62c40ad80,KUBI Herpetology Collection,2012-09-28T20:08:55.000+0000,2020-09-30T20:06:05.558+0000
71d0dff0-f762-11e1-a439-00145eb45e9a,AMNH Herpetology Collections,2009-09-09T08:54:36.000+0000,2017-05-31T18:41:46.508+0000
b15d4952-7d20-46f1-8a3e-556a512b04c5,MSB Mammal Collection (Arctos),2013-05-02T15:31:33.000+0000,2020-09-05T18:28:50.567+0000
13e7869e-0c76-473a-a227-53d6e3d6fbf2,"University of Michigan Museum of Zoology, Division of Insects",2018-12-21T13:29:37.000+0000,2020-09-07T17:33:05.519+0000
cece4fc2-1fec-4bb5-a335-7252548e3f0b,CAS Herpetology (HERP),2012-04-20T00:13:21.000+0000,2019-10-25T00:54:17.274+0000
85802736-f762-11e1-a439-00145eb45e9a,United States National Plant Germplasm System Collection,2007-03-22T15:41:16.000+0000,2018-03-09T13:11:51.567+0000
989f6285-841c-47a4-991b-3d3396427f02,University of Florida Invertebrate Paleontology,2015-04-09T13:34:58.241+0000,2020-09-22T14:41:03.671+0000
5d283bb6-64dd-4626-8b3b-a4e8db5415c3,Essig Museum of Entomology,2013-07-04T07:10:16.000+0000,2020-10-03T05:50:56.623+0000
09c4287e-e6d5-4552-a07f-bff8a00833d8,MVZ Herp Collection (Arctos),2013-04-13T01:20:46.000+0000,2020-10-01T00:54:29.218+0000
96ca66b4-f762-11e1-a439-00145eb45e9a,AMNH Mammal Collections,2009-07-29T12:51:54.000+0000,2017-05-31T18:43:06.506+0000
95c938a8-f762-11e1-a439-00145eb45e9a,R. L. McGregor Herbarium Vascular Plants Collection,2008-09-23T07:41:16.000+0000,2020-10-01T13:40:10.289+0000
e48d6c49-34a3-4df6-8206-121c061f190d,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,2012-07-10T19:18:56.000+0000,2019-07-22T18:02:45.626+0000
a36438d0-bec7-4b7b-9bfa-2c31e7610c39,Bell Museum plants,2019-06-13T19:12:35.446+0000,2020-09-15T04:47:08.768+0000
e4d3fc77-1d94-495b-96ff-3fe8b8f7a3bd,hymenoptera,2020-07-03T22:18:57.185+0000,2020-07-03T22:20:03.078+0000
14f3151a-e95d-493c-a40d-d9938ef62954,CAS Entomology (ENT),2012-07-26T17:53:01.000+0000,2020-09-29T23:08:36.029+0000
76525e81-9210-401d-a90d-5509f771c0e7,The Albert J. Cook Arthropod Research Collection,2018-10-30T21:12:23.757+0000,2020-07-03T05:52:27.337+0000
8be43f9b-52e7-47d4-be3e-dbcc066d70ab,WFVZ Bird Collections,2012-06-08T17:06:05.000+0000,2018-10-11T11:48:38.331+0000
e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,"UCR - University of California, Riverside Herbarium - Vascular Plants",2019-10-01T01:11:55.191+0000,2020-08-01T16:29:23.768+0000
e42c4be9-dc6d-466b-8df2-60ac8c47fadd,"University of Vermont, Pringle Herbarium",2020-03-03T02:05:04.861+0000,2020-04-03T21:10:26.043+0000
005eb8d8-ed94-41be-89cf-e3115a9058e4,Field Museum of Natural History (Zoology) Invertebrate Collection,2012-07-11T20:26:39.000+0000,2020-08-07T21:27:34.835+0000
e05fd4c2-4d77-4c50-880e-1b22096af300,Arizona State University Vascular Plant Herbarium,2019-06-27T15:18:24.277+0000,2020-05-14T00:15:13.027+0000
9b7d1acf-b22f-4a1f-b6e8-f1ddd744dc07,"SD - SD Herbarium, San Diego Natural History Museum",2019-10-07T14:23:07.585+0000,2020-09-30T23:33:58.585+0000
b6015b60-6f96-43a9-88e5-2f41854e8f07,Biodiversity Research and Teaching Collections - TCWC Vertebrates,2012-08-03T21:50:33.000+0000,2019-06-27T01:46:53.656+0000
9b12d595-11ea-4128-88ea-ed378eb9ea9a,Mississippi Entomological Museum,2017-08-01T15:30:36.024+0000,2020-07-03T10:31:40.786+0000
1edd3c3f-cfd7-4fd5-bfba-2c67737a17ba,University of Tennessee Vascular Herbarium,2019-01-31T15:52:52.796+0000,2020-08-18T14:20:52.053+0000
0daed095-478a-4af6-abf5-18acb790fbb2,MVZ Mammal Collection (Arctos),2013-04-13T01:32:29.000+0000,2020-10-01T00:34:20.302+0000
41fc5c40-5e81-496f-9733-6b5681b3b7a5,Field Museum of Natural History (Zoology) Mammal Collection,2012-07-10T19:22:31.000+0000,2020-09-25T21:12:10.855+0000
323b0e80-5e4b-4cc4-936a-d93fc8cae9bc,C.P. Gillette Museum of Arthropod Diversity,2018-11-06T11:56:11.809+0000,2020-07-03T05:52:24.797+0000
eccf4b09-f0c8-462d-a48c-41a7ce36815a,UF FLMNH Ichthyology,2012-06-19T17:39:55.000+0000,2020-09-21T19:46:35.867+0000
8937328e-f762-11e1-a439-00145eb45e9a,Oklahoma Vascular Plants Database Provider,2008-04-09T13:42:42.000+0000,2018-03-06T14:00:00.185+0000
af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,University of South Florida Herbarium (USF),2017-05-16T15:21:33.619+0000,2020-10-01T20:50:38.689+0000
7c5e863f-3f70-4933-b05d-fc57c66dd3f3,University of Colorado Museum of Natural History Herbarium Vascular Plant Collection,2020-03-04T15:51:07.071+0000,2020-09-14T23:38:18.259+0000
85af82a6-f762-11e1-a439-00145eb45e9a,Planetary Biodiversity Inventory Eumycetozoan Databank,2007-04-21T18:36:44.000+0000,2018-02-28T18:49:54.129+0000
7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1,Macaulay Library Audio and Video Collection,2013-08-05T19:09:22.000+0000,2017-05-31T18:42:59.407+0000
5d6c10bd-ea31-4363-8b79-58c96d859f5b,CAS Ichthyology (ICH),2012-03-15T23:22:00.000+0000,2020-09-29T23:06:30.343+0000
be5507b9-7abf-4b69-afe1-5ca2b7561734,"University of Michigan Museum of Zoology, Division of Birds",2013-02-08T23:41:02.000+0000,2020-09-21T11:32:30.218+0000
486ca376-f3a2-4084-8618-1c82a59c5240,Invert Paleo Specimens,2015-07-16T18:04:10.703+0000,2020-09-28T15:14:06.976+0000
a82d2421-be5a-4779-babc-da0b634a7ba8,CM Birds Collection,2013-05-03T15:01:38.000+0000,2017-05-31T18:42:58.119+0000
8e479b8f-ac16-4bed-a11a-bc7e27c31663,"University of Michigan Museum of Zoology, Division of Reptiles & Amphibians",2013-12-11T21:23:00.340+0000,2020-09-21T11:44:12.792+0000
5199d77b-fc69-4c85-94f2-4d3e63e777ff,National Benthic Inventory,2019-06-19T15:43:40.656+0000,2020-06-16T21:20:32.514+0000
5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9,"UAM Herbarium (ALA), Vascular Plant Collection (Arctos)",2013-04-30T17:53:48.000+0000,2020-09-30T23:43:11.687+0000
864da4c2-f762-11e1-a439-00145eb45e9a,"U.S.D.A. Forest Service, Redwood Sciences Laboratory - Lamna Point Count",2007-08-06T09:50:51.000+0000,2018-03-07T16:53:27.188+0000
e3b959d6-fcbe-4a28-a166-e4a807c340a0,MVZ Bird Collection (Arctos),2013-04-13T01:10:03.000+0000,2020-10-01T00:45:22.485+0000
59825263-9f89-43a9-8f22-c22a6a53b8fc,"University of Michigan Museum of Zoology, Division of Fishes",2018-08-02T16:07:06.648+0000,2020-09-21T16:31:52.574+0000
7dd6e9f8-f252-42c9-bd34-221716095973,"University of Michigan Museum of Zoology, Division of Mollusks",2018-07-13T19:34:28.376+0000,2020-10-02T07:28:12.744+0000
831234b2-f762-11e1-a439-00145eb45e9a,UWFC Ichthyology Collection,2007-04-03T12:40:17.000+0000,2019-03-15T20:55:05.374+0000
0ec927cf-325a-4d63-9499-d721c734463a,LACM Entomology Collection,2016-01-24T13:03:46.355+0000,2018-01-09T15:32:14.683+0000
8310f570-f762-11e1-a439-00145eb45e9a,Vascular Plant Collection - University of Washington Herbarium (WTU),2007-04-03T12:40:17.000+0000,2016-08-18T12:32:09.598+0000
84829fe4-f762-11e1-a439-00145eb45e9a,LSUMZ Birds Collection,2007-04-03T12:40:17.000+0000,2017-05-31T18:43:05.834+0000
7827f68d-c981-4023-bace-288a03434044,Intermountain Herbarium (Vascular plants & algae),2019-01-16T16:16:01.051+0000,2020-09-17T14:47:50.749+0000
832b8188-f762-11e1-a439-00145eb45e9a,University of Florida Herpetology,2007-04-03T12:40:17.000+0000,2020-09-23T18:18:48.274+0000
13fdfab7-e281-428d-8c1f-e72eb7398e97,Texas Tech University - Invertebrate Zoology,2020-01-16T13:23:44.558+0000,2020-07-02T22:29:06.052+0000
1f2cfb6f-c91b-498e-80f3-8eeeec688292,"Non-vertebrate Paleontology, Jackson School Museum of Earth History, University of Texas at Austin",2015-03-17T21:31:06.257+0000,2020-09-17T18:16:36.159+0000
