institutionCode,commonToGBIFiDigBio
INHS,56
UCR,54
GMDRC,4
TTU,4
PSUC,1
RENO,82
F,815981
SEINet,9
MCZ,2
DBG,85206
RSA,1
KSTC,50822
WCUH,5765
KSP,213
UF,14748
MSC,179058
TENN,513
USU,164693
GH,517237
VMNH,4
LSU,163344
UHIM,10
BUF,41002
UAMb,74303
UOMNH,8509
UCMP,44220
GMNH,97
CHSC,10326
KHD,1
UTEP,81003
CAS,584889
ASU,135996
SDSM,146
Logan,3
AMES,40063
FH,214893
YPM,277503
UAM,201996
UWBM,2
UTC,2568
AMNH,76
MO,4734422
DMNS,2
VPI,1
US,3033102
CMC,1626
UD,62
ENLC,3
BHSC,14078
UNM,119489
ECON,5241
CM,497617
A,179068
LACM,187
UConn,144664
NCSM,2062
OMNH,5
CMNH,27
NCU,264
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",1
USNM,36025
BPBM,418000
BRFC,623
USF,227287
USU-UTC,25
KU,398207
NY,4017378
MIN,556757
NCSC,40084
COLO,288708
SDSU,2
CHRB,16
UCM,19
BUT,43719
USCH,60968
TEX,1
NEBC,240312
USFS/BHSC,3649
MSB,8
OSC,3
FMNH,23313
CHAS,152
JFBM,3
RM,3
LSUM,14456
University of Colorado Herbarium,21
