institutionCode,commonToGBIFiDigBio
INHS,56
UCR,54
GMDRC,4
TTU,23
PSUC,2
UWYMED,3
RENO,82
F,718204
SEINet,9
MCZ,8
DBG,84583
RSA,1
KSTC,50822
WCUH,5769
KSP,213
UF,30538
MSC,179114
TENN,70215
UMNH,1
USU,154758
GH,462126
VMNH,4
LSU,163410
UHIM,43
BUF,56258
UAMb,103385
UOMNH,16597
UCMP,44235
GMNH,158
CHSC,10327
KHD,1
UTEP,84150
UMMZ,14
CAS,561938
ASU,127255
SDSM,148
Logan,3
AMES,25801
FH,250303
YPM,278218
UAM,202684
UWBM,15
UTC,2933
AMNH,77
MO,4673199
COA,1
OUIP,2
DMNS,11
VPI,1
US,4366130
CMC,1873
UD,63
ENLC,3
UNM,59834
ECON,5074
NMSU,1
CM,10
A,192232
NAUF,38
UConn,171179
BYU,2
GUAM,595
NCSM,1870
OMNH,21
CMNH,129
NCU,264
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",1
USNM,39636
BPBM,421066
BRFC,655
USF,224542
USU-UTC,25
KU,385884
NY,3901917
MIN,538347
NCSC,40392
COLO,192917
SDSU,2
CHRB,15
UCM,18
BUT,43152
USCH,57620
PRI,3
TEX,1
NEBC,277018
MSB,4
OSC,3
FMNH,23309
CHAS,165
JFBM,1
MPM,107608
RM,3
LSUM,17467
