institutionCode,commonToGBIFiDigBio
INHS,56
UCR,54
GMDRC,4
TTU,4
PSUC,1
RENO,82
F,712070
SEINet,9
MCZ,2
DBG,83816
RSA,1
KSTC,50822
WCUH,5765
KSP,213
UF,14518
MSC,179084
TENN,66710
USU,153731
GH,235375
VMNH,4
LSU,163348
UHIM,10
BUF,41008
UAMb,102943
UOMNH,16337
UCMP,44220
GMNH,92
CHSC,10327
KHD,1
UTEP,82521
CAS,561937
ASU,124525
SDSM,148
Logan,3
AMES,16294
FH,133320
YPM,275646
UAM,200694
UWBM,2
UTC,2562
AMNH,76
MO,4673199
DMNS,2
VPI,1
US,4326089
CMC,1626
UD,62
ENLC,3
UNM,59781
ECON,2514
CM,9
A,89782
UConn,144664
NCSM,1843
OMNH,5
CMNH,27
NCU,264
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",1
USNM,37090
BPBM,418000
BRFC,655
USF,224542
USU-UTC,25
KU,384161
NY,3890066
MIN,536683
NCSC,40084
COLO,192663
SDSU,2
CHRB,15
UCM,18
BUT,43152
USCH,57618
PRI,1
TEX,1
NEBC,159324
MSB,4
OSC,3
FMNH,23277
CHAS,152
JFBM,1
RM,3
LSUM,14458
