institutionCode,uniqueToGBIF
CSLA,8924
UCSB,51523
UA,41460
USA049,7447
UCR,264370
USA020,35876
USA176,2106
USA390,6215
USA007,41
TTU,19
UMD,49190
PSUC,1
UWYMED,3
USA108,1009
USA151,3535
USA003,10397
FLAS,101045
haw,1
F,181044
USA004,5823
OPSU,2186
MCZ,18
SEINet,4
DBG,6252
RSA,435517
KSTC,55
WCUH,22253
FSC,15140
OKLA,48318
KSP,22606
UF,16399
USA559,420
MICH,941837
MUR,1
"",111964
MSC,101
OKL,122047
SFV,16270
TENN,419450
UMNH,2
USU,507
USA133,3606
GH,86656
USA005,14674
USA033,8361
LSU,62
UHIM,33
BUF,12785
UOMNH,2227
UAMb,226
UCMP,155
GMNH,83
BEREA,24281
CHSC,92447
POM,121104
USA016,49784
UTEP,1567
UMMZ,16
CAS,18224
USA937,2542
NWOSU,93
ASU,233416
USA962,510
AMES,11264
FH,21703
CSU,9722
NTSRV,218406
UCSC,13235
VT,287545
YPM,237
USA026,14341
UAM,3689
UWBM,297158
UTC,366
AMNH,8
BRU,15388
USA047,4850
USA476,39
COA,1
UTEX,1916
RLMC,983
OUIP,2
NPS,1
UCONN,2
MISS,55629
DMNS,9
USA174,3760
US,283443
CMC,20369
UD,2
BHSC,567
MACF,6118
UNM,8926
USA956,3981
DAV,138011
ECON,935
NMSU,3
CM,36544
NHA,57712
USA971,2577
A,67490
NAUF,38
OCLA,12234
USA148,2923
PBDB,87114
UConn,26504
BYU,36
GUAM,595
HWML,80
NCSM,1963
DUKE,282244
OMNH,2075
PRC,487353
SD,252784
CMNH,102
NCU,428877
KNWR,2502
NEON,120
USNM,43
BPBM,3066
USF,59
University of Rochester,1
KU,1758
NY,11841
UTKH,481
MIN,3369
NCSC,37171
BABY,11427
FTG,78186
ANSP,3
COLO,55074
EKY,80483
SDSU,22809
USA200,1484
RHNM,6
CHRB,100995
CS,57350
USCH,52520
BISON,706
UMMP,5
DES,91235
TULS,8379
USA955,1683
USA042,881
PRI,2
USA167,8193
SCFS,1697
WSCO,4178
USA134,241
OBI,62893
USA022,66656
NEBC,37846
USA029,42197
USFS/BHSC,21
OSC,165588
UOBS,890
UTAH,1
CAMU,346
SEOSU,19884
FMNH,32
FHSM,3
BOON,16127
ECU,2423
USA074,1909
DMNH,57
CHAS,14
WOH,2
BRIT,19342
NEOSU,1095
SJSU,15932
UCBG,18900
JFBM,6
MPM,107620
USDA-SBML,4
SDNHM,270
UHM,2252
LOB,15781
MSUB,13469
LSUM,273
USA970,4621
