institutionCode,uniqueToGBIF
CSLA,6113
UCSB,50440
UA,41460
USA049,7447
UCR,264328
USA020,35876
USA176,2106
USA390,6215
USA007,41
TTU,2
UMD,49190
USA108,1009
USA151,3535
USA003,10397
FLAS,100576
haw,1
F,280114
USA004,5823
OPSU,2218
SEINet,3
DBG,6881
RSA,435517
KSTC,55
WCUH,22249
FSC,14800
OKLA,48855
KSP,22606
UF,542
USA559,420
MICH,940377
MUR,1
"",111821
MSC,71
OKL,123767
SFV,16270
TENN,349459
UMNH,1
USU,7647
USA133,3606
GH,143394
USA005,14674
USA033,8361
UOMNH,1975
UCMP,119
GMNH,17
BEREA,24281
CHSC,92397
POM,121104
USA016,49784
UTEP,6
UMMZ,2
CAS,33794
USA937,2542
NWOSU,94
ASU,242201
USA962,510
AMES,25496
FH,4647
CSU,9916
NTSRV,218406
UCSC,13206
VT,287545
YPM,1347
USA026,14341
UAM,3030
UWBM,297850
AMNH,5
UTC,3
MO,25254
BRU,15388
USA047,4850
USA476,39
UTEX,1916
NPS,1
UCONN,2
MISS,55629
USA174,3760
US,343568
CMC,20130
UD,1
BHSC,11698
MACF,5431
UNM,68581
USA956,3981
DAV,137775
ECON,1095
NMSU,2
NHA,57712
USA971,2577
A,54270
OCLA,12454
USA148,2923
LACM,187
PBDB,87114
BYU,34
HWML,80
NCSM,219
DUKE,282244
OMNH,2059
SD,252061
NCU,428877
KNWR,2497
NEON,121
USNM,2
USF,2531
KU,9846
NY,127202
UTKH,526
MIN,1412
NCSC,36863
BABY,11427
FTG,78186
ANSP,3
COLO,150876
EKY,80694
SDSU,22673
USA200,1484
RHNM,6
CHRB,100996
UCM,1
CS,57350
BUT,649
USCH,48547
BISON,706
DES,90488
TULS,8517
USA955,1683
USA042,881
USA167,8193
SCFS,1689
WSCO,4165
USA134,241
OBI,62830
USA022,66656
NEBC,1168
USA029,42197
USFS/BHSC,3544
OSC,165588
UOBS,909
MSB,4
UTAH,1
CAMU,346
SEOSU,20206
FMNH,36
BOON,16127
ECU,2436
USA074,1909
CHAS,1
WOH,2
BRIT,19346
NEOSU,1121
SJSU,15931
UCBG,18900
USDA-SBML,4
MPM,12
SDNHM,270
UHM,2252
LOB,15595
MSUB,13469
University of Colorado Herbarium,21
USA970,4621
