or_institutionCode,uniqueToiDigBio
IIO-UABC,2555
UNIVILLE,16079
"Universidade Federal Rural de Pernambuco, UFRPE",22693
K,920601
MOR,105452
IML,1
BLMMD,5483
FZ-UACH,866
SBT,7170
TMAG,74938
UCSB,62820
UNICAMP,214417
NMNW,4
Bartlet Arboretum,3789
DEWV,10804
MFP,3
"Royal Ontario Museum - Entomology, Toronto, Canada (ROME)",4046
UFRB,24151
Brock University (BU),100
IE-UNAM,1175
CIRCE-CEVAMEX-INIFAP,17494
SC,3876
UFS,9569
ZMB,3
DGSV-SENASICA,447
AMGS,2
GRCH,2325
LPMMBH,350
NMMNH,6212
PU,49254
UA,208709
UABCS,3863
UPRM,7294
Universidade Regional do Cariri,8223
ZMAN,137
UALVP,2
Comissão Executiva do Plano da Lavoura Cacaueira,140092
"Museu Nacional, Universidade Federal do Rio de Janeiro (MNRJ)",20099
RMS,34096
UWL,7388
"Universidade Federal de Sergipe, UFS",39833
MOVC,2636
NHMLAC,1
INHS,936529
NEBK,11246
Paxillosida,1
ABS,34536
ALBC,9804
GSW,13151
MWCF,5290
NSMT,1062
"Ohio State University - Bird Division, Columbus, OH (OSUM)",26285
UCR,501219
Universidade Federal de Santa Catarina,63539
ISNB,382
SPL,1
ENCB-IPN,152461
EVE,1179
LA,17186
MELU,13689
PEMB,4476
TROM,250512
UFES,43749
DSUND,1453
HCHM,7843
MN,64118
TMH,1
CMN,741677
GMDRC,5494
"SEL, CM",1
CUIC,58180
ECOT,1804
FI-UNAM,357
IIZD-UASLP,2691
NRM,564009
ODA,170
TTU,288388
FPL-USDA,1
IAC,56758
JSA,149
KWP,50091
PSUC,130516
AM,1475920
CLARK-A,7372
GMS,8172
MAGNT,222317
USFS,13529
UWYMED,16473
DEBU,233
UMSP,2619
LACSD,18
MNHU,3
UNSW,2
Cenargen,108834
RENO,102447
WJC,715
"SEL, MO",1
MAFI,10
SCC,612
TCWC,273226
Testudines,1
FLAS,176333
UEFS,249770
UQROO,16572
HIC,80
FCNI,57
OSUC,130
TAWES,4363
Royal Belgian Institute of Natural Sciences,3
Alcyonacea,1
URIC,13
MEUV,1
UAlig,1
F,216323
LTB,5269
MAJC,4551
WRI-KU,114
#REF!,1071
CANL,31102
NCZP,2681
OSEC,139
Scripps Institute of Oceanography,1
