or_institutionCode,uniqueToiDigBio
MOR,103505
BLMMD,4700
UCSB,36815
Bartlet Arboretum,3765
DEWV,10482
SC,3872
GRCH,2325
RMS,32469
UWL,7385
MOVC,2572
NEBK,11186
INHS,27
GSW,13036
MWCF,5226
UCR,420714
ALBC,236
EVE,1124
LA,17186
PEMB,4469
DSUND,1431
HCHM,4051
GMDRC,5494
"SEL, CM",1
TTU,6
PSUC,18
CLARK-A,7372
GMS,8142
USFS,8148
RENO,102415
WJC,710
"SEL, MO",1
FLAS,171310
TAWES,4357
F,207745
NCZP,2343
MCTC,13798
FARM,47030
MCZ,3342
SEINet,259
TAC,2096
WFBM,4
DBG,3664
RSA,742722
UAAH,11201
URV,2261
BBLM,4480
MASS,8723
KSTC,55
WCUH,22229
PERTH,131
FLD,14619
ISTC,6788
HAW,4189
LCDI,1395
UARK,2727
TLU,5389
UNLV,3143
KSP,24891
UF,5593
PH 987012,1
MICH,706343
HCOA,665
VSC,72641
TLE,25440
MUR,1
MSC,24702
PLU,7087
SMU,804
"",1167
TU,67
ENMU,5170
Wilton Garden Club,1222
"SEL, FLAS",9
NYS,43264
UC,490499
UMFK,46285
SFV,7201
TENN,348224
USU,367
GVSC,3143
NDA,8379
NDOA,1150
PAC,30167
GH,68
VMNH,66
IBE,13908
LSU,5290
UVSC,15971
SIM,23935
ARCH,4723
UOMNH,2054
BUF,27
UAMb,4
UCMP,17748
GMNH,21
BEREA,24281
CHSC,63730
POM,205936
University of Vermont,39226
WSP,76
NMNHI,60
USUUB,6845
UWM,7815
PUR,4
UNCA,7839
Boston University,10844
SEL,6216
USAM,621
HSU,1
ID,154171
UTEP,40
UMMZ,128
ASC,83581
CAS,256658
ASU,239443
MISSA,28369
SDSM,913
HUNT,5633
MUGM,19
AMES,344
FH,13542
MCA,51316
CSU,2525
MBM,286618
TAES,846
UCSC,7348
ILL,109602
MAINE,13106
VT,241775
miss,1
SUU,5713
YPM,1256
WIS,504031
UAM,29
UWBM,17
AMNH,5628
UTC,52
JOTR,4358
MO,287
VCU,18873
BRU,15730
SRP,94195
MARY,53862
FSU,165291
WEWO,1902
SAU,4472
SYRF,6991
AVCH,2111
EPHR,1746
BING,19758
MSUNH,1384
HBSH,2426
NPS,2021
NAVA,12737
BRY,43699
MISS,75866
FHKSC,552
VPI,33598
DMNS,4
USMS,18291
SOC,18227
US,288945
CMC,20235
NCSLG,4773
MESA,3136
ENLC,6056
MWI,42354
NHI,8223
PSM,11745
Yale Peabody Museum of Natural History,82636
WET,4421
BHSC,1603
WWB,4962
SFSU,34336
WGC,4999
Westfield State University,11031
MACF,247
UNM,66124
WFU,156
AASU,5061
DAV,111498
JEPS,109684
ECON,5
NMSU,1
CIC,45853
CM,491794
WVA,12153
UCLA,690
NHA,85208
A,43
REED,5484
JTP,1
CONV,6436
SWRS,1670
LACM,77
BDI,18517
EDOBLM,1328
UConn,11031
BYU,5
SIU,6785
GUAM,3
ALAJ,8670
GAS,35404
KANU,1184
GEO,14856
NCSM,5
PGM,7591
UWSP,73669
DUKE,416536
PRC,211145
SD,127440
SNM,27589
CMNH,111
MDKY,10278
NCU,508047
ALA,78961
WASH,712
YM-YOSE,9204
WTU,360214
USNM,44766
BPBM,13733
ARIZ,35225
KNK,22925
TROY,14534
IRVC,5672
"SEL,AMES",1
Central Connecticut State University,1785
MONT,53260
USF,17190
University of New Hampshire,86144
BDWR,2524
CATA,2832
PH,484503
UCHT,43163
KU,809
NY,39277
TTRS,10505
MIN,2083
NCSC,36738
CRMO,2649
FTG,540
MU,145035
OS,49574
CNC,8
COLO,121957
CSUSB,2003
EKY,80178
MEM,13570
SDSU,33532
BPI,747457
EMC,9434
NLU,10250
NCSU,4
RHNM,6
CHRB,60424
UNA,2394
SALK,500
UCM,212
BOIS,10409
KIRI,7173
BUT,4926
Brown,72097
CUP,71997
ISC,102139
USCH,47493
CAU,5377
ETSU,11116
SENEY,741
DES,85787
PUL,2
HWBA,636
OMA,18989
PRI,728
"PT: SEL, USF",1
CDA,24115
SCFS,1000
LEDLIE,1402
HUDC,8736
Harvard University,21323
KAIB,19
OBI,46093
CINC,41880
FHL,3508
KE,15242
NEB,48000
University of Massachusetts,93292
UVA,213
IDS,60851
NEBC,56
Western Connecticut State University,5775
NMC,1
DS,118417
USFS/BHSC,341
APCR,1456
CLEMS,80574
MSB,35
OSC,82448
WCW,10999
HJAEF,1064
ILLS,333143
MNA,36637
CSCA,69
FMNH,78
BLMAR,647
RMBL,6937
FHSM,1
VDBBRIT,1
BOON,15255
CALVIN,4825
HLSD,3542
MOAR,26079
YUO,183
GA,220444
JMUH,5062
BALT,27690
DEK,3801
HPC,26212
HPSU,15804
JROH,4747
USCS,17838
EIU,27333
ODU,1729
SCIR,1296
SAPCL,258
UCD,102124
Colgate University,3094
University of Rhode Island,12556
UWFP,21517
SACT,2522
DMNH,48
IND,153492
"SEL, USF",61
USFWS,5062
AWC,1662
FTU,19346
Arizona State,1
DOV,23261
UNAF,4878
BRIT,84285
SBBG,132162
AUA,28127
WNC,6625
WSTC,1019
SJSU,10115
UWEC,1675
Connecituct College,1067
Keene State University,11861
JFBM,11
ECUH,5166
MOT,2488
CONN,3977
RM,6126
BHO,4900
VDB,156135
LINF,3569
UHM,1519
HSC,74762
UNCC,9590
BLM,3712
MSUB,13444
RSABG,17
NULL,1
EWU,6684
MUHW,41956
PASA,2394
MONTU,64671
VVC,2515
GMUF,36506
UT,21976
University of Maine,44772
LSUM,99
CBG,68
CORT,5336
VALE,5060
MIL,3155
