institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
A,89817,89817,89817,89817,0,80051,83532,11841,28214,11868,6221,89230,63796,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
AASU,5061,0,5061,5061,0,5010,5056,4,0,0,0,5008,4971,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ALA,78961,0,78961,78961,0,34366,77622,33305,44733,76716,77836,78960,78857,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ALAJ,8670,0,8670,8670,0,8571,1196,8249,8666,5946,8540,1143,8577,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ALBC,236,0,236,236,0,197,187,0,236,33,35,227,227,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
AMES,16638,16638,16638,16638,0,13999,15517,612,8504,6815,2491,15750,13395,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
AMNH,5704,5400,5703,5407,0,4517,5094,360,613,2098,2639,2457,286,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
APCR,1456,0,1456,1456,0,46,1456,46,0,0,0,82,46,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ARCH,4723,4723,4723,4723,0,4285,4714,4,4288,429,679,4681,4282,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ARIZ,35225,2,35224,35225,0,30722,31754,2,14287,1088,31858,31860,31697,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ASC,83581,1,80062,83581,0,81798,83570,78533,6,2766,27235,83556,81498,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ASU,363912,245521,220375,363912,0,347664,360282,308282,119575,43821,209884,359751,344692,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
AUA,28127,0,28127,28127,0,27898,28062,1637,27820,2944,3017,27927,3235,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
