institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber,File,month
A,246559,246559,246559,215574,223580,246559,0,0,0,225347,208814,208814,236644,218536,136069,54204,54204,54204,18545,0,129841,29296,11152,245392,183022,152321,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
AMES,51327,51327,51327,51289,48056,51327,0,0,0,46948,50155,50155,48643,31513,9496,1172,1172,1172,13448,0,43752,13242,4172,49702,44236,38398,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
AMNH,84,77,84,2,41,84,0,0,0,70,0,0,78,73,71,4,4,4,0,0,1,53,54,74,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
ANSP,3,3,3,0,1,3,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
ASU,369412,250729,230302,0,343503,369412,0,0,0,357734,0,0,368473,363448,264408,313119,313119,313119,108526,3,131354,39166,212892,368826,358762,341450,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BABY,11427,11427,11427,0,11375,11427,0,11382,0,11381,0,11425,11425,11424,2157,11368,11368,11368,10010,0,0,7003,11356,11427,11374,11426,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BEREA,24281,0,24281,0,24228,24281,0,0,0,1983,0,0,24232,24198,24034,14,14,14,6,0,23454,1,45,2017,1993,1942,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BHSC,18315,18315,18315,0,18300,18315,0,0,0,18216,0,0,18315,18315,18315,10973,10973,10973,13101,0,17947,884,3413,18315,18040,18214,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BISON,706,706,24,682,703,706,0,0,0,0,0,0,706,706,706,706,706,706,0,0,677,0,0,706,706,682,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BOON,16127,0,15276,4,15785,16127,0,0,0,5551,0,0,15962,15757,15165,3592,3592,3592,235,0,11436,193,695,5889,5855,3540,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BPBM,421066,421066,421066,4,362822,421066,0,0,0,413793,311397,28850,412423,279434,2687,83855,83855,83855,199968,20464,0,174676,272271,417353,384996,396391,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BPI,4,4,4,0,4,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BRFC,623,623,623,0,612,623,0,0,0,623,0,623,623,623,623,431,431,431,0,0,0,0,0,623,623,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BRIT,19342,19342,19342,0,13205,19342,0,0,0,31,0,16317,17358,17295,16859,10374,10374,10374,0,0,0,13502,13671,17822,17234,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BRU,15388,0,15388,0,14309,15388,0,0,0,5289,0,0,14305,12518,8448,14295,14295,14295,9,0,15365,0,199,14012,8909,186,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BUF,53787,53787,53787,0,41371,53787,0,0,0,53624,53754,46202,46135,44018,39594,0,0,0,705,0,0,2417,5132,43291,42662,15786,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BUT,43719,43719,43719,0,43276,43719,0,0,43719,41602,0,0,43719,43719,4067,0,0,0,0,0,0,0,3440,43652,40831,32526,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
BYU,36,36,36,0,0,36,0,0,0,36,0,0,36,35,3,35,35,35,11,0,0,0,0,35,32,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CAMU,346,346,346,0,346,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CAS,603113,603113,603113,591,578442,603113,0,0,0,603066,602409,602317,602083,593372,519310,124671,124671,124671,361428,0,15807,165590,176000,602350,595036,602521,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CHAS,166,166,166,166,148,166,0,0,0,166,166,162,162,160,159,59,59,59,0,0,33,68,166,166,166,134,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CHRB,101011,16,101010,0,92011,101011,0,0,0,31139,0,0,80819,71399,34746,5186,5186,5186,3223,5,83736,6330,10040,47741,40020,31828,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CHSC,102773,102773,102773,0,101461,102773,0,0,0,102333,0,0,102701,102575,99894,85124,85124,85124,66036,4,26594,10471,33774,102461,102195,92422,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CM,534161,534161,534161,9,516252,534161,0,0,0,516603,7,7,532167,486109,398673,264328,264328,264328,145714,0,114811,5,253773,527305,461035,513651,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CMC,21995,1873,21995,0,20013,21995,0,0,0,20446,0,1318,21440,20977,19761,5338,5338,5338,695,0,19863,10638,10992,20434,19903,19857,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CMNH,129,129,129,129,14,129,0,0,0,94,0,128,126,123,115,0,0,0,0,0,0,0,0,72,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
