institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
A,246486,246486,246486,246486,0,225281,236574,54149,129829,26904,10932,245322,174846,223533,208741,gbif_us_institutionCode_MIDS_2020.07.08.csv
AMES,51297,51297,51297,51297,0,46916,48614,1170,43752,13241,4172,49672,44208,48026,50126,gbif_us_institutionCode_MIDS_2020.07.08.csv
AMNH,82,77,82,82,0,70,76,4,1,53,54,74,0,39,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
ANSP,3,3,3,3,0,1,2,0,0,0,0,0,0,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
ASU,369412,250729,230302,369412,0,357734,368492,313119,131354,39166,212892,368826,358762,343503,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BABY,11427,11427,11427,11427,11382,11381,11425,11368,0,7003,11356,11427,11374,11375,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BEREA,24281,0,24281,24281,0,1983,24232,14,23454,1,45,2017,1993,24228,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BHSC,15242,15242,15242,15242,0,15153,15242,10239,15074,833,2648,15242,15006,15230,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BISON,706,706,24,706,0,0,706,706,677,0,0,706,706,703,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BOON,16127,0,15276,16127,0,5551,15964,3592,11436,193,695,5889,5855,15785,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BPBM,421066,421066,421066,421066,0,413793,412543,83855,0,174676,272271,417353,384996,362822,311397,gbif_us_institutionCode_MIDS_2020.07.08.csv
BPI,4,4,4,4,0,3,4,0,0,0,0,3,0,4,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BRFC,623,623,623,623,0,623,623,431,0,0,0,623,623,612,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BRIT,19346,19346,19346,19346,0,31,17358,10374,0,13502,13671,17822,17234,13209,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BRU,15388,0,15388,15388,0,5289,14340,14295,15365,0,199,14012,8909,14309,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BUF,56258,56258,56258,56258,0,56095,46153,0,0,2417,5132,43305,42669,46172,56225,gbif_us_institutionCode_MIDS_2020.07.08.csv
BUT,43801,43801,43801,43801,0,41674,43801,0,0,0,3725,43734,42373,43360,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
BYU,36,36,36,36,0,36,36,35,0,0,0,35,32,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CAMU,346,346,346,346,0,0,0,0,0,0,0,0,0,346,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CAS,595732,595732,595732,595732,0,595685,594726,121184,15807,162666,172584,594970,587761,571333,595028,gbif_us_institutionCode_MIDS_2020.07.08.csv
CHAS,166,166,166,166,0,166,162,59,33,68,166,166,166,148,166,gbif_us_institutionCode_MIDS_2020.07.08.csv
CHRB,101011,16,101010,101011,0,31139,80819,5186,83736,6330,10040,47741,40017,92011,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CHSC,102724,102724,102724,102724,0,102284,102652,84836,22954,10465,33767,102412,102146,101410,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CM,10,10,10,10,0,10,9,0,2,2,2,9,10,2,7,gbif_us_institutionCode_MIDS_2020.07.08.csv
CMC,22003,1873,22003,22003,0,20454,21448,5338,19871,10643,10998,20442,19910,20021,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CMNH,129,129,129,129,0,94,126,0,0,0,0,72,0,14,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
COA,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,gbif_us_institutionCode_MIDS_2020.07.08.csv
COLO,343804,343804,343804,343804,0,232197,342843,125729,337304,70065,100113,284313,228103,335581,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CS,57350,57350,57350,57350,0,57339,57350,54877,0,0,5611,56115,0,57221,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CSLA,6113,0,6113,6113,0,6059,5958,761,6113,78,321,6082,5973,6022,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
CSU,9916,9916,9916,9916,0,0,0,0,0,0,0,0,0,9815,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
DAV,137775,26925,36926,137775,0,137683,137746,103667,32985,922,59509,137765,132048,132374,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
DBG,91458,91458,85719,91458,0,84470,87953,73598,83119,8028,18130,89067,88786,83426,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
DES,90488,0,88338,90488,0,87246,90089,86067,78086,9589,18983,90460,89594,88055,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
DMNS,11,11,11,11,0,7,7,5,0,3,11,10,5,1,3,gbif_us_institutionCode_MIDS_2020.07.08.csv
DUKE,282244,0,281520,282244,0,281253,281440,148602,8731,6660,139227,281785,242019,266436,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
ECON,6169,6169,6169,6169,0,6019,6115,53,5371,442,233,6120,3906,5889,6162,gbif_us_institutionCode_MIDS_2020.07.08.csv
ECU,2436,2436,2436,2436,0,0,0,0,0,0,0,0,0,2380,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
EKY,80694,0,77126,80694,0,75931,80682,6686,74962,1952,13845,80483,78698,80199,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
ENLC,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
F,997025,997025,815981,997025,0,331245,962091,810528,753934,115569,172831,776659,679332,892225,654704,gbif_us_institutionCode_MIDS_2020.07.08.csv
FH,235586,235586,235586,235586,0,232519,230989,3640,152932,6968,6881,233603,201992,223111,234388,gbif_us_institutionCode_MIDS_2020.07.08.csv
FLAS,100576,0,100576,100576,0,0,100443,20995,75656,0,0,100575,98800,96658,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
FMNH,23345,23345,23344,23345,0,0,23280,0,11061,0,16549,1902,730,2347,23344,gbif_us_institutionCode_MIDS_2020.07.08.csv
FSC,14800,0,14800,14800,0,9175,13564,1945,13249,856,3234,9279,8945,14572,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
FTG,78186,78186,78186,78186,0,27941,77640,10612,0,0,0,70184,76529,72996,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
GH,603888,603888,603888,603888,0,571695,584096,8650,522881,67724,16844,600580,284975,590634,592826,gbif_us_institutionCode_MIDS_2020.07.08.csv
GMDRC,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
GMNH,175,175,159,175,0,174,175,126,0,0,0,175,173,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
GUAM,595,595,595,595,0,592,580,242,0,7,2,434,570,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
haw,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
HWML,80,80,80,80,0,80,75,72,0,0,80,80,8,2,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
INHS,56,56,56,56,0,56,56,49,0,0,6,0,51,16,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
JFBM,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
KHD,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
KNWR,2497,2497,2497,2497,0,2497,2497,2497,151,1761,2497,1709,2497,2303,2497,gbif_us_institutionCode_MIDS_2020.07.08.csv
KSP,22819,214,16252,22819,0,21899,22802,10865,0,1470,2436,22810,19073,22310,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
KSTC,50877,50877,50822,50877,0,50498,48551,22569,0,0,38196,50510,50211,46904,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
KU,395584,395584,395576,395584,0,387580,379601,292402,95553,0,246249,373250,325987,323483,387167,gbif_us_institutionCode_MIDS_2020.07.08.csv
LACM,187,187,187,187,0,187,187,181,17,112,187,183,127,1,187,gbif_us_institutionCode_MIDS_2020.07.08.csv
LOB,15595,0,14107,15595,0,15489,15414,8761,14093,290,1097,15350,14985,14503,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
Logan,3,3,3,3,0,0,3,0,3,0,0,0,0,3,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
LSU,163406,163406,163406,163406,0,159710,161772,57400,0,52585,65362,161780,155045,161038,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
LSUM,17465,17465,17465,17465,0,17183,17282,16671,0,370,5536,17302,17090,9200,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MACF,5431,0,4837,5431,0,4931,5411,216,4837,660,1293,5399,5330,5374,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MCZ,8,8,8,8,0,7,7,5,0,0,8,8,3,4,7,gbif_us_institutionCode_MIDS_2020.07.08.csv
MICH,940377,940377,940377,940377,0,940377,907288,300052,461573,129880,236026,925141,841184,824607,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MIN,537492,537492,536206,537492,0,388918,459568,225430,293092,19760,33991,456546,380475,523616,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MISS,55629,55629,55629,55629,0,0,55629,0,0,0,0,55629,0,54864,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MO,4698453,4698453,4698453,4698453,0,4454292,4669524,3145214,341691,2546086,2938212,4698427,4471175,3942379,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MPM,107620,107620,107608,107620,0,0,106799,2057,0,0,0,106633,94882,98891,107325,gbif_us_institutionCode_MIDS_2020.07.08.csv
MSB,8,8,8,8,0,8,8,1,0,6,8,8,8,0,8,gbif_us_institutionCode_MIDS_2020.07.08.csv
MSC,179185,179185,179114,179185,0,179039,169899,25906,0,0,0,178048,174475,164612,171244,gbif_us_institutionCode_MIDS_2020.07.08.csv
MSUB,13469,0,10772,13469,0,11717,13390,139,0,2,4164,11974,10779,13316,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
MUR,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NAUF,38,38,38,38,0,36,38,38,1,5,29,38,38,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NCSC,77255,40392,77220,77255,0,40329,75773,3474,71907,2290,430,43621,38700,74674,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NCSM,2089,2089,2089,2089,0,0,2077,0,0,1,1818,1920,0,101,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NCU,429141,264,429066,429141,0,152666,427210,40435,396124,44129,87931,169282,163380,418951,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NEBC,278160,278160,278160,278160,0,271192,278131,269,268380,7409,5301,278004,268144,275785,278132,gbif_us_institutionCode_MIDS_2020.07.08.csv
NEON,121,121,121,121,0,121,121,121,0,0,0,0,121,121,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NEOSU,1121,1121,1121,1121,0,0,0,0,0,0,0,0,0,1102,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NHA,57712,0,57712,57712,0,57712,57696,57662,57710,2235,3389,57637,55915,56139,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NMSU,3,3,3,3,0,2,3,1,0,0,0,3,3,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NPS,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NTSRV,218406,218406,218406,218406,0,0,196856,0,0,0,0,80270,199546,217002,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NWOSU,94,94,94,94,0,0,0,0,0,0,0,0,0,94,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
NY,4029055,4029055,4029055,4029055,0,2436291,2686881,1469984,3100723,632432,843952,2706629,2512401,3831136,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OBI,62830,0,58765,62830,0,62503,62751,36146,58507,6505,18398,62740,61352,61354,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OCLA,12454,12454,12454,12454,0,0,0,0,0,0,0,0,0,12210,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OKL,123767,123767,123767,123767,0,0,0,0,0,0,0,0,0,122902,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OKLA,48855,48855,48855,48855,0,0,0,0,0,0,0,0,0,48585,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OMNH,2080,2080,2080,2080,0,0,2002,0,0,0,0,0,0,179,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OPSU,2218,2218,2218,2218,0,0,0,0,0,0,0,0,0,2213,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OSC,165591,165591,165591,165591,0,165145,165589,150453,3,162890,165591,165469,162076,163714,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OSUC,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
OUIP,2,2,2,2,0,2,2,2,0,0,0,0,0,0,2,gbif_us_institutionCode_MIDS_2020.07.08.csv
PBDB,87114,87114,0,87114,0,48393,87114,87114,0,0,0,87114,0,16081,86337,gbif_us_institutionCode_MIDS_2020.07.08.csv
POM,121104,121104,40288,121104,0,121090,121080,6771,28510,0,0,121072,110034,117623,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
PRI,3,3,3,3,0,3,3,2,0,0,0,0,0,2,3,gbif_us_institutionCode_MIDS_2020.07.08.csv
PSUC,2,2,2,2,0,1,2,2,0,1,2,2,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
RENO,82,82,82,82,0,82,82,82,82,3,82,82,81,82,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
RHNM,6,0,6,6,0,6,6,6,6,5,5,6,6,6,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
RM,3,3,3,3,0,3,3,0,3,2,3,3,3,3,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
RSA,435518,435518,131050,435518,0,435501,435485,152955,57673,0,0,435439,422011,424050,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SCFS,1689,0,1687,1689,0,1671,1686,1661,1549,569,1065,1685,1678,1626,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SD,252061,0,27611,252061,0,250197,251421,204203,29280,2,0,251507,242146,248469,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SDNHM,270,270,270,270,0,270,270,270,0,0,0,270,270,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SDSM,146,146,146,146,0,0,139,0,0,0,0,0,59,8,139,gbif_us_institutionCode_MIDS_2020.07.08.csv
SDSU,22675,150,22645,22675,0,21882,22617,18287,16354,7540,12168,22658,22060,22243,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SEINet,12,9,12,12,0,9,12,12,10,7,10,12,11,12,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SEOSU,20206,20206,20206,20206,0,0,0,0,0,0,0,0,0,19865,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
