institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
A,179073,179073,179073,179016,179073,0,0,0,161747,173237,173237,169971,156760,88821,19468,19365,19358,15653,0,108856,22913,9345,178184,122124,122044
AASU,5061,0,5061,5061,5061,0,0,0,5008,0,5056,5056,5056,5023,4,4,4,0,0,5013,0,0,5008,4969,5013
ALA,78961,0,78961,73439,78961,0,0,0,34366,0,75302,77622,70767,1203,33306,33305,33305,101,0,44733,76716,77836,78960,78857,51352
ALAJ,8670,0,8670,0,8670,0,0,0,8571,0,1195,1196,1170,62,8249,8249,8249,0,0,8666,5946,8540,1143,8577,0
ALBC,236,0,236,0,236,0,0,0,197,0,175,187,183,161,0,0,0,1,0,236,33,35,227,227,207
AMES,40064,40064,40064,40041,40064,0,0,0,37080,39404,39404,37984,25462,8221,855,851,846,10781,0,34206,9613,3390,39096,35080,29995
AMNH,5704,5400,5703,0,5407,0,0,0,4517,0,5043,5094,3632,1904,399,399,360,37,0,613,2098,2639,2457,286,0
APCR,1456,0,1456,0,1456,0,0,0,46,0,1456,1456,1456,1455,46,46,46,0,0,0,0,0,82,46,46
ARCH,4723,4723,4723,0,4723,0,0,0,4285,0,4714,4714,4713,4712,4,4,4,0,0,4288,429,679,4681,4282,3105
ARIZ,35225,2,35224,0,35225,0,0,0,30722,0,31647,31754,30525,21455,2,2,2,6,0,14287,1088,31858,31860,31697,21760
ASC,83581,1,80062,0,83581,0,0,0,81798,0,83550,83570,83467,82215,78534,78534,78533,65668,0,6,2766,27235,83556,81498,63366
ASU,375914,257301,232398,0,375914,0,0,0,359241,0,369482,372273,366160,265188,312932,312928,312925,108416,2,131192,46038,212725,371757,356454,346174
ASU,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
AUA,28127,0,28127,0,28127,0,0,0,27898,0,28060,28062,3357,27650,1637,1637,1637,1775,0,27820,2944,3017,27927,3235,3262
AVCH,2704,0,2704,0,2704,0,0,0,0,0,2701,2702,2704,1993,0,0,0,0,0,2165,17,17,0,0,0
AWC,1662,0,1634,0,1662,0,0,0,1588,0,1642,1642,1642,1638,1197,1196,1196,869,0,1607,74,222,1660,1632,1596
BALT,27690,0,18608,0,27690,0,0,0,26461,0,27515,27554,26239,24443,168,262,167,425,2,15800,6606,11879,26961,26034,25065
BART,3765,3765,3765,0,3765,0,0,0,3070,0,2899,3636,3603,1923,1579,1579,1579,7,0,3729,126,135,3701,3710,1076
BBLM,4481,4481,4481,0,4481,0,4445,0,4084,4476,4349,4476,4348,4122,1227,1227,1227,3340,0,4155,257,1741,4472,4365,4463
BDI,18517,0,0,0,18517,0,0,0,14740,0,16061,17204,15632,14366,13675,13675,13675,103,0,0,1380,1762,16657,14371,1441
BDWR,3720,0,3720,0,3720,0,0,0,0,0,3587,3587,3671,3612,0,0,0,0,0,1467,0,0,0,0,0
BEREA,24281,0,24281,0,24281,0,0,0,1983,0,24227,24232,24198,24034,14,14,14,6,0,23454,45,45,2017,1985,1942
BHO,4900,0,4900,0,4900,0,0,0,2933,0,4890,4896,4890,3190,1,1,1,18,0,4815,668,725,3224,3154,3165
BHSC,14080,14080,14080,0,14080,0,0,0,14021,0,14079,14080,14080,14080,6884,6884,6884,9163,0,13978,3005,3231,14080,14021,14019
BHSC,3649,3649,3649,0,3649,0,0,0,3611,0,3649,3649,3649,3649,3576,3576,3576,3605,0,3574,50,50,3649,3611,3611
BING,19758,0,19758,0,19758,0,0,0,11033,0,11794,11841,11090,7631,5082,5081,5081,4142,0,18925,7846,10283,11347,10951,11092
BLM,3712,3712,3655,0,3712,0,0,0,3272,0,3540,3540,3543,3458,1355,1355,1355,814,0,738,491,795,3588,3403,2028
BLMAR,647,647,647,0,647,0,0,0,647,0,647,647,647,647,268,268,268,551,0,0,0,0,644,647,647
BLMMD,4700,4700,4700,0,4700,0,4631,0,4087,4557,3158,4552,3159,4546,3643,3643,1460,3515,0,2534,1,2949,4611,4500,1175
BOIS,10727,10727,7949,0,10727,0,10659,0,10434,10581,10295,10547,10328,8188,702,702,702,6861,0,7367,1760,6801,10688,10059,7914
BOON,16109,0,15258,4,16109,0,0,0,5541,0,15889,15950,15742,15155,3591,3590,3590,235,0,11421,197,695,5878,5594,3533
BPBM,431733,431733,431733,2,431733,0,0,0,424060,318947,416816,418110,287132,2925,89410,89614,89149,200019,23892,1,233738,279032,427902,393743,406415
BPI,747457,0,747457,0,710997,0,0,0,692318,0,688118,692342,431916,27695,0,0,0,0,0,0,0,379319,703856,671363,142046
BRFC,623,623,623,0,623,0,0,0,623,0,623,623,623,623,431,431,431,0,0,0,0,0,623,623,0
BRIT,127423,13315,124365,395,127423,0,0,0,61013,0,126611,126825,122934,99755,63993,63991,63990,15112,17,54423,21301,25264,114186,111295,112614
Brown,73380,73380,73380,0,73380,0,0,0,44865,0,68349,68837,58344,25439,3300,3300,3300,0,0,70787,0,0,61103,53585,25279
BRU,15730,0,15730,0,15730,0,0,0,5889,0,13732,14130,12638,8268,14457,14457,14457,9,0,15703,2,193,14522,11527,198
BRY,43699,10,43699,0,43699,0,0,0,43343,0,43140,43303,43304,39224,29431,29431,29431,34458,0,39060,4,37546,43537,43432,39885
BSN,10844,10844,10844,0,10844,0,0,0,4875,0,10488,10566,10443,9578,5785,5785,5785,392,1,10805,162,203,10194,9023,4856
BUF,41035,41035,41035,0,41035,0,0,0,40887,41010,39908,39858,38156,34519,0,0,0,609,0,0,2394,4464,37389,36963,13785
BUT,48632,43719,48631,0,48632,0,0,43719,46513,0,48484,48536,47749,7104,2937,2936,2936,349,0,47865,552,4389,48550,45422,37360
BYU,5,5,5,4,5,0,0,0,5,5,5,5,5,5,4,4,4,0,0,0,0,0,5,5,0
CALVIN,4825,0,4825,0,4825,0,0,0,4689,0,4758,4760,4766,4662,0,0,0,0,0,4643,0,0,4825,4662,4785
CAS,841544,801101,841544,1551,841543,0,0,0,805344,584792,805229,804236,796197,724516,264047,263989,247404,472613,0,56144,162663,172367,840758,830778,839837
CATA,2832,2832,2832,0,2832,0,0,0,2832,0,2832,2832,2832,2832,1475,1475,1475,2642,0,0,0,0,2827,2829,2753
CAU,5377,0,5377,0,5377,0,0,0,1693,0,5352,5375,5344,5157,1532,1532,1532,42,0,4876,273,296,1707,1668,1631
CBG,68,0,68,0,68,0,0,0,68,0,68,68,0,0,68,68,68,0,0,68,68,24,68,68,0
CCNL,1067,1067,1067,0,1067,0,0,0,574,0,921,924,919,811,0,0,0,0,0,1064,164,164,959,919,549
CCSU,1785,1785,1785,0,1785,0,0,0,831,0,1769,1770,1769,1260,0,0,0,0,0,1784,50,1120,1771,1731,1604
CDA,24115,24115,24115,0,24115,0,0,0,23900,0,24115,24115,24115,24115,16902,16902,16902,13322,0,0,0,0,24113,24093,20459
CHAS,152,152,152,152,152,0,0,0,152,152,152,152,152,152,52,52,52,0,0,33,66,152,152,152,134
CHRB,95856,16,95855,0,95856,0,0,0,30554,0,71978,76774,67469,34363,4373,4375,4373,3217,5,78590,8531,9811,41880,37750,31114
CHSC,74057,74057,74057,0,74057,0,0,0,73719,0,74057,74057,74057,74057,73217,73217,73217,65633,0,0,0,0,73820,73863,67572
CIC,47517,47517,47273,0,47517,0,47007,0,45563,47008,46764,46992,46768,44446,24810,24810,24810,34286,0,44583,16776,32443,47420,46713,46086
CINC,41880,0,41879,0,41880,0,0,0,32488,0,41179,41434,38142,22171,1198,1201,1198,10959,4,41734,13730,17562,36446,33590,34825
CLARK-A,7372,7372,7372,0,7372,0,0,0,7033,0,7372,7372,7372,7372,6513,6513,6513,3210,0,0,0,0,7333,7355,4250
CLEMS,80989,0,79472,0,80989,0,0,0,45872,0,79871,80001,80604,78878,1448,1448,1448,1092,0,72915,1518,49300,49680,46156,39245
CM,498102,498102,498102,13,498095,0,0,0,481674,7,486409,488086,459417,383797,250916,250914,250914,131166,0,109469,5,236262,492424,473071,478764
CMC,21861,1815,21861,0,21861,0,0,0,20345,0,20931,21330,20874,19688,5328,5328,5328,694,0,19787,10587,10937,20352,19574,19781
CMNH,138,138,138,138,138,0,0,0,80,0,125,115,113,109,0,0,0,0,0,0,0,0,87,0,0
CNC,8,0,8,0,8,0,0,0,8,0,8,8,8,8,8,8,8,0,0,0,6,8,8,8,0
COLO,339377,288713,339377,0,339377,0,0,0,228061,0,337669,338349,331771,258881,122453,122410,122407,136340,2,335701,89855,96034,280038,233680,253773
COLO,21,21,21,0,21,0,0,0,1,0,10,10,10,9,0,0,0,1,0,21,0,0,3,1,15
CONN,3977,0,3977,0,3977,0,0,0,3772,0,3902,3933,3797,2693,3922,3922,3922,29,0,3770,1,1,3887,3682,563
CONV,6436,0,6436,0,6436,0,0,0,0,0,6315,6315,6316,6232,0,0,0,0,0,6146,0,0,0,0,0
CORT,5336,0,5336,0,5166,0,0,0,5245,0,5323,5335,5333,5302,713,693,683,0,0,0,0,414,5336,5326,5322
CRMO,2649,2649,2649,0,2649,0,2624,0,2628,2644,2636,2644,2637,2074,586,586,586,1978,0,2631,2004,2502,2648,2619,2643
CSCA,69,0,69,0,69,0,0,0,69,0,69,69,69,69,69,69,69,30,0,0,37,66,69,69,0
CSU,2525,0,2101,0,2525,0,0,0,2385,0,2520,2524,2522,2425,1719,1719,1719,1,0,1587,0,1821,2259,2359,2353
CSUSB,2003,2003,2003,0,2003,0,0,0,1976,0,2003,2003,2003,2003,1407,1407,1407,1468,0,0,0,0,2003,1941,868
CUP,71997,43,71995,92,67951,0,0,0,55545,0,59543,61589,54510,43550,917,919,917,88,0,17617,3373,31228,60292,53589,8374
DAV,111498,109549,111498,0,111498,0,0,0,111384,0,110541,110861,110453,101763,28764,28752,28724,4026,0,1948,93,47536,110906,1780,109637
DBG,91191,91191,85474,0,91191,0,0,0,84385,0,87538,87642,86882,80648,73575,73571,73569,52299,0,82731,12656,18064,88840,88775,65129
Deaccessioned,2,0,0,0,2,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2
DEK,3801,0,3801,0,3801,0,0,0,3578,0,3769,3778,3707,3434,3575,3576,3575,651,0,3669,840,1026,3706,3632,2812
DES,90362,1,88221,0,90362,0,0,0,87118,0,89514,89584,88735,75381,85950,85949,85947,57879,0,77996,12361,18960,90335,86483,80941
DEWV,10482,0,10482,0,10463,0,0,0,10456,0,10482,10482,10482,10476,5102,5102,5043,5135,0,0,12,2181,10470,10475,10023
DMNH,48,48,48,48,48,0,0,0,48,0,38,39,38,16,8,8,8,0,0,0,0,0,36,43,0
DMNS,12,12,12,12,12,0,0,0,12,12,12,12,9,8,9,9,9,0,0,0,11,12,12,12,0
DOV,52904,0,52904,0,52904,0,0,0,26379,0,52448,52462,52453,39816,2338,2338,2338,215,0,36532,208,259,41355,26986,26962
DS,118417,118417,118417,0,118417,0,0,0,118417,0,118417,118417,118417,118417,73217,73217,73217,44258,0,0,0,0,118417,116188,118355
DSUND,1431,0,1421,0,1431,0,0,0,193,0,1260,1316,1260,1039,949,949,949,3,0,5,36,1116,1206,1210,42
DUKE,428671,0,427951,0,428671,0,0,0,285896,0,421273,425489,415204,300024,152516,152494,152399,91650,0,143326,26153,143221,286526,277253,279309
