institutionCode,total_idig,has_collectionCode_idig,has_catalogNumber_idig,has_preparations_idig,has_scientificName_idig,has_scientificNameID_idig,has_acceptedNameUsage_idig,has_identificationID_idig,has_locality_idig,has_higherGeography_idig,has_continent_idig,has_countryCode_idig,has_stateProvince_idig,has_county_idig,has_decimalLatitude_idig,has_decimalLongitude_idig,has_coordinates_idig,has_verbatimElevation_idig,has_verbatimDepth_idig,has_image_idig,has_dateIdentified_idig,has_identifiedBy_idig,has_recordedBy_idig,has_eventDate_idig,has_recordNumber_idig,File_idig,total_gbif,has_collectionCode_gbif,has_catalogNumber_gbif,has_preparations_gbif,has_speciesKey,has_scientificName_gbif,has_scientificNameID_gbif,has_acceptedNameUsage_gbif,has_identificationID_gbif,has_locality_gbif,has_higherGeography_gbif,has_continent_gbif,has_countryCode_gbif,has_stateProvince_gbif,has_county_gbif,has_decimalLatitude_gbif,has_decimalLongitude_gbif,has_coordinates_gbif,has_verbatimElevation_gbif,has_verbatimDepth_gbif,has_image_gbif,has_dateIdentified_gbif,has_identifiedBy_gbif,has_recordedBy_gbif,has_eventDate_gbif,has_recordNumber_gbif,File_gbif,month,has_speciesKey_idig,has_speciesKey_gbif
A,179073,179073,179073,179016,179073,0,0,0,161747,173237,173237,169971,156760,88821,19468,19365,19358,15653,0,108856,22913,9345,178184,122124,122044,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,246559,246559,246559,215574,223580,246559,0,0,0,225347,208814,208814,236644,218536,136069,54204,54204,54204,18545,0,129841,29296,11152,245392,183022,152321,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
AASU,5061,0,5061,5061,5061,0,0,0,5008,0,5056,5056,5056,5023,4,4,4,0,0,5013,0,0,5008,4969,5013,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ALA,78961,0,78961,73439,78961,0,0,0,34366,0,75302,77622,70767,1203,33306,33305,33305,101,0,44733,76716,77836,78960,78857,51352,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ALAJ,8670,0,8670,0,8670,0,0,0,8571,0,1195,1196,1170,62,8249,8249,8249,0,0,8666,5946,8540,1143,8577,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ALBC,236,0,236,0,236,0,0,0,197,0,175,187,183,161,0,0,0,1,0,236,33,35,227,227,207,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
AMES,40064,40064,40064,40041,40064,0,0,0,37080,39404,39404,37984,25462,8221,855,851,846,10781,0,34206,9613,3390,39096,35080,29995,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,51327,51327,51327,51289,48056,51327,0,0,0,46948,50155,50155,48643,31513,9496,1172,1172,1172,13448,0,43752,13242,4172,49702,44236,38398,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
AMNH,5704,5400,5703,0,5407,0,0,0,4517,0,5043,5094,3632,1904,399,399,360,37,0,613,2098,2639,2457,286,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,84,77,84,2,41,84,0,0,0,70,0,0,78,73,71,4,4,4,0,0,1,53,54,74,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
APCR,1456,0,1456,0,1456,0,0,0,46,0,1456,1456,1456,1455,46,46,46,0,0,0,0,0,82,46,46,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ARCH,4723,4723,4723,0,4723,0,0,0,4285,0,4714,4714,4713,4712,4,4,4,0,0,4288,429,679,4681,4282,3105,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ARIZ,35225,2,35224,0,35225,0,0,0,30722,0,31647,31754,30525,21455,2,2,2,6,0,14287,1088,31858,31860,31697,21760,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ASC,83581,1,80062,0,83581,0,0,0,81798,0,83550,83570,83467,82215,78534,78534,78533,65668,0,6,2766,27235,83556,81498,63366,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
ASU,375915,257301,232398,0,375915,0,0,0,359242,0,369483,372274,366161,265189,312932,312928,312925,108417,2,131192,46038,212725,371757,356455,346174,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,369412,250729,230302,0,343503,369412,0,0,0,357734,0,0,368473,363448,264408,313119,313119,313119,108526,3,131354,39166,212892,368826,358762,341450,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
AUA,28127,0,28127,0,28127,0,0,0,27898,0,28060,28062,3357,27650,1637,1637,1637,1775,0,27820,2944,3017,27927,3235,3262,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
AVCH,2704,0,2704,0,2704,0,0,0,0,0,2701,2702,2704,1993,0,0,0,0,0,2165,17,17,0,0,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
AWC,1662,0,1634,0,1662,0,0,0,1588,0,1642,1642,1642,1638,1197,1196,1196,869,0,1607,74,222,1660,1632,1596,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BALT,27690,0,18608,0,27690,0,0,0,26461,0,27515,27554,26239,24443,168,262,167,425,2,15800,6606,11879,26961,26034,25065,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BART,3765,3765,3765,0,3765,0,0,0,3070,0,2899,3636,3603,1923,1579,1579,1579,7,0,3729,126,135,3701,3710,1076,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BBLM,4481,4481,4481,0,4481,0,4445,0,4084,4476,4349,4476,4348,4122,1227,1227,1227,3340,0,4155,257,1741,4472,4365,4463,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BDI,18517,0,0,0,18517,0,0,0,14740,0,16061,17204,15632,14366,13675,13675,13675,103,0,0,1380,1762,16657,14371,1441,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BDWR,3720,0,3720,0,3720,0,0,0,0,0,3587,3587,3671,3612,0,0,0,0,0,1467,0,0,0,0,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BEREA,24281,0,24281,0,24281,0,0,0,1983,0,24227,24232,24198,24034,14,14,14,6,0,23454,45,45,2017,1985,1942,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,24281,0,24281,0,24228,24281,0,0,0,1983,0,0,24232,24198,24034,14,14,14,6,0,23454,1,45,2017,1993,1942,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
