institutionCode,total,has_collectionCode,has_catalogNumber,has_speciesKey,has_scientificName,has_acceptedNameUsage,has_locality,has_higherGeography,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
CSLA,6113,0,6113,6022,6113,0,6059,0,5958,761,6113,78,321,6082,5973
UCSB,50440,0,48717,49494,50440,0,50227,0,50093,32656,44152,407,2889,49698,48409
UA,41460,41460,41460,40893,41460,0,40668,0,41448,39040,0,0,17996,41460,39845
USA049,7447,7447,7447,7420,7447,0,1205,0,5718,282,0,0,0,0,0
INHS,56,56,56,16,56,0,56,0,56,49,0,0,6,0,51
UCR,264382,54,50239,254252,264382,0,264281,0,264292,247533,38922,81158,90264,264382,261568
USA020,35876,35876,35876,34972,35876,0,16581,0,33574,8768,0,0,0,0,0
USA176,2106,2106,2106,2100,2106,0,830,0,1996,43,0,0,0,0,0
USA390,6215,6215,6215,4816,6215,0,899,0,5309,485,0,0,0,0,0
GMDRC,4,4,4,4,4,0,4,0,4,4,4,0,4,4,4
TTU,25,25,23,15,25,0,25,0,25,25,0,0,3,12,20
USA007,41,41,41,37,41,0,41,0,41,41,0,0,0,0,0
PSUC,2,2,2,1,2,0,1,0,2,2,0,1,2,2,1
UMD,49190,49190,49190,48370,49190,0,19737,0,49170,2720,0,23238,43334,49189,49056
UWYMED,3,3,3,0,3,0,3,0,3,3,0,0,3,3,3
USA151,3535,3535,3535,3279,3535,0,1241,0,1813,796,0,0,0,0,0
USA108,1009,1009,1009,881,1009,0,31,0,609,2,0,0,0,0,0
RENO,82,82,82,82,82,0,82,0,82,82,82,3,82,82,81
USA003,10397,10397,10397,10104,10397,0,2350,0,8564,958,0,0,0,0,0
haw,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1
FLAS,100576,0,100576,96658,100576,0,0,0,100443,20995,75656,0,0,100575,98800
F,997025,997025,815981,892225,997025,0,331245,654704,962091,810528,753934,115569,172831,776659,679332
USA004,5823,5823,5823,5709,5823,0,3095,0,5552,2897,0,0,0,0,0
OPSU,2218,2218,2218,2213,2218,0,0,0,0,0,0,0,0,0,0
SEINet,12,9,12,12,12,0,9,0,12,12,10,7,10,12,11
MCZ,8,8,8,4,8,0,7,7,7,5,0,0,8,8,3
RSA,435518,435518,131050,424050,435518,0,435501,0,435485,152955,57673,0,0,435439,422011
DBG,91458,91458,85719,83426,91458,0,84470,0,87953,73598,83119,8028,18130,89067,88786
KSTC,50877,50877,50822,46904,50877,0,50498,0,48551,22569,0,0,38196,50510,50211
WCUH,28018,5769,28017,27676,28018,0,6478,0,27801,3179,20979,285,639,5362,6350
FSC,14800,0,14800,14572,14800,0,9175,0,13564,1945,13249,856,3234,9279,8945
OKLA,48855,48855,48855,48585,48855,0,0,0,0,0,0,0,0,0,0
UF,31080,31080,31077,7540,31080,0,31011,31062,31042,27976,1,0,0,28689,240
USA559,420,420,420,387,420,0,142,0,369,161,0,0,0,0,0
KSP,22819,214,16252,22310,22819,0,21899,0,22802,10865,0,1470,2436,22810,19073
MICH,940377,940377,940377,824607,940377,0,940377,0,907288,300052,461573,129880,236026,925141,841184
MUR,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1
MSC,179185,179185,179114,164612,179185,0,179039,171244,169899,25906,0,0,0,178048,174475
"",111821,1673,111700,110679,111821,0,110026,943,111567,110565,0,5,26,2261,110081
TENN,419643,70186,419643,396821,419643,0,177416,0,417454,161361,356203,8524,54225,182548,178098
SFV,16270,0,16155,15943,16270,0,16237,0,16261,14233,16155,1636,2802,16270,15960
OKL,123767,123767,123767,122902,123767,0,0,0,0,0,0,0,0,0,0
UMNH,2,2,2,1,2,0,2,0,2,2,0,0,0,2,2
USU,162323,162323,162132,158668,162323,0,149734,0,161795,71852,82628,24300,59478,157772,148100
USA133,3606,3606,3606,3574,3606,0,122,0,259,119,0,0,0,0,0
GH,603888,603888,603888,590634,603888,0,571695,592826,584096,8650,522881,67724,16844,600580,284975
USA005,14674,14674,14674,14311,14674,0,241,0,9499,48,0,0,0,0,0
USA033,8361,8361,8361,8360,8361,0,2367,0,7472,927,0,0,0,0,0
VMNH,4,4,4,0,4,0,4,4,4,0,4,0,4,4,4
LSU,163406,163406,163406,161038,163406,0,159710,0,161772,57400,0,52585,65362,161780,155045
UHIM,43,43,43,10,43,0,22,0,40,0,43,0,0,39,40
UAMb,74529,74529,74529,70052,74529,0,74529,74529,74133,29714,57013,74513,74529,74529,74402
BUF,56258,56258,56258,46172,56258,0,56095,56225,46153,0,0,2417,5132,43305,42669
UOMNH,18572,18572,18570,6130,18572,0,8321,9739,17570,1009,969,0,10482,15862,382
GMNH,175,175,159,0,175,0,174,0,175,126,0,0,0,175,173
UCMP,44354,44354,44354,14157,44354,0,44327,0,43098,7204,684,0,0,30980,0
BEREA,24281,0,24281,24228,24281,0,1983,0,24232,14,23454,1,45,2017,1993
POM,121104,121104,40288,117623,121104,0,121090,0,121080,6771,28510,0,0,121072,110034
CHSC,102724,102724,102724,101410,102724,0,102284,0,102652,84836,22954,10465,33767,102412,102146
KHD,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1
USA016,49784,49784,49784,48703,49784,0,21452,0,46101,7250,0,0,0,0,0
UTEP,83896,83896,83896,81098,83896,0,83896,83896,83880,33833,290,68771,83896,83894,83896
UMMZ,16,16,16,15,16,0,15,0,15,3,0,0,0,14,1
CAS,595732,595732,595732,571333,595732,0,595685,595028,594726,121184,15807,162666,172584,594970,587761
USA937,2542,2542,2542,2542,2542,0,0,0,0,0,0,0,0,0,0
NWOSU,94,94,94,94,94,0,0,0,0,0,0,0,0,0,0
USA962,510,510,510,510,510,0,0,0,65,0,0,0,0,0,0
ASU,369412,250729,230302,343503,369412,0,357734,0,368492,313119,131354,39166,212892,368826,358762
SDSM,146,146,146,8,146,0,0,139,139,0,0,0,0,0,59
Logan,3,3,3,3,3,0,0,0,3,0,3,0,0,0,0
FH,235586,235586,235586,223111,235586,0,232519,234388,230989,3640,152932,6968,6881,233603,201992
AMES,51297,51297,51297,48026,51297,0,46916,50126,48614,1170,43752,13241,4172,49672,44208
CSU,9916,9916,9916,9815,9916,0,0,0,0,0,0,0,0,0,0
UCSC,13206,0,2444,12204,13206,0,13047,0,13187,8218,2610,480,597,13174,12786
NTSRV,218406,218406,218406,217002,218406,0,0,0,196856,0,0,0,0,80270,199546
VT,287545,0,287542,120714,287545,0,41117,0,280793,93109,280666,9378,20546,78659,84171
YPM,237570,237570,237570,138069,237570,0,109192,169464,169308,132971,147547,2803,7545,156197,122764
USA026,14341,14341,14341,12739,14341,0,4727,0,12749,4457,0,0,0,0,0
UWBM,297865,297865,297865,279344,297865,0,297760,15,296979,145993,0,86218,162776,297824,294174
UAM,205686,205686,205686,195505,205686,0,205686,205686,135820,126605,173287,200305,205686,205682,200031
AMNH,82,77,82,39,82,0,70,0,76,4,1,53,54,74,0
UTC,2934,2934,2934,2011,2934,0,2875,0,2934,1579,2,108,254,2932,2439
MO,4698453,4698453,4698453,3942379,4698453,0,4454292,0,4669524,3145214,341691,2546086,2938212,4698427,4471175
BRU,15388,0,15388,14309,15388,0,5289,0,14340,14295,15365,0,199,14012,8909
USA047,4850,4850,4850,3838,4850,0,465,0,3813,37,0,0,0,0,0
USA476,39,39,39,39,39,0,39,0,39,39,0,0,0,0,0
COA,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
UTEX,1916,0,1916,968,1916,0,0,0,1476,0,0,0,0,1564,0
OUIP,2,2,2,0,2,0,2,2,2,2,0,0,0,0,0
NPS,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1
UCONN,2,2,2,0,2,0,0,0,2,0,0,0,0,2,2
MISS,55629,55629,55629,54864,55629,0,0,0,55629,0,0,0,0,55629,0
DMNS,11,11,11,1,11,0,7,3,7,5,0,3,11,10,5
VPI,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
USA174,3760,3760,3760,3760,3760,0,0,0,677,0,0,0,0,0,0
US,3220812,3220812,2939880,2998537,3220812,0,2968505,3215942,3211502,547352,2393111,0,441396,3208588,2930859
CMC,22003,1873,22003,20021,22003,0,20454,0,21448,5338,19871,10643,10998,20442,19910
UD,64,64,64,63,64,0,32,0,64,64,0,63,64,57,64
ENLC,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3
BHSC,11698,11698,11698,11691,11698,0,11641,0,11698,6759,11599,831,2602,11698,11476
UNM,128415,128415,121532,125565,128415,0,124472,2,128303,73186,117067,32040,45410,128239,123966
USA956,3981,3981,3981,2892,3981,0,1407,0,3116,730,0,0,0,0,0
MACF,5431,0,4837,5374,5431,0,4931,0,5411,216,4837,660,1293,5399,5330
ECON,6169,6169,6169,5889,6169,0,6019,6162,6115,53,5371,442,233,6120,3906
NMSU,3,3,3,0,3,0,2,0,3,1,0,0,0,3,3
DAV,137775,26925,36926,132374,137775,0,137683,0,137746,103667,32985,922,59509,137765,132048
CM,10,10,10,2,10,0,10,7,9,0,2,2,2,9,10
USA971,2577,2577,2577,2350,2577,0,1654,0,2363,23,0,0,0,0,0
NHA,57712,0,57712,56139,57712,0,57712,0,57696,57662,57710,2235,3389,57637,55915
A,246486,246486,246486,223533,246486,0,225281,208741,236574,54149,129829,26904,10932,245322,174846
NAUF,38,38,38,0,38,0,36,0,38,38,1,5,29,38,38
USA148,2923,2923,2923,2266,2923,0,20,0,1541,6,0,0,0,0,0
OCLA,12454,12454,12454,12210,12454,0,0,0,0,0,0,0,0,0,0
LACM,187,187,187,1,187,0,187,187,187,181,17,112,187,183,127
PBDB,87114,87114,0,16081,87114,0,48393,86337,87114,87114,0,0,0,87114,0
UConn,171062,171062,171062,161832,171062,0,170254,20959,169663,155614,0,0,0,168669,166193
BYU,36,36,36,0,36,0,36,0,36,35,0,0,0,35,32
HWML,80,80,80,2,80,0,80,0,75,72,0,0,80,80,8
GUAM,595,595,595,0,595,0,592,0,580,242,0,7,2,434,570
NCSM,2089,2089,2089,101,2089,0,0,0,2077,0,0,1,1818,1920,0
OMNH,2080,2080,2080,179,2080,0,0,0,2002,0,0,0,0,0,0
DUKE,282244,0,281520,266436,282244,0,281253,0,281440,148602,8731,6660,139227,281785,242019
SD,252061,0,27611,248469,252061,0,250197,0,251421,204203,29280,2,0,251507,242146
CMNH,129,129,129,14,129,0,94,0,126,0,0,0,0,72,0
NCU,429141,264,429066,418951,429141,0,152666,0,427210,40435,396124,44129,87931,169282,163380
KNWR,2497,2497,2497,2303,2497,0,2497,2497,2497,2497,151,1761,2497,1709,2497
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",1,1,1,0,1,0,1,0,1,1,0,1,0,1,1
NEON,121,121,121,121,121,0,121,0,121,121,0,0,0,0,121
USNM,36063,36063,36062,17963,36063,0,4,11591,11572,0,126,0,9856,5043,3940
BPBM,421066,421066,421066,362822,421066,0,413793,311397,412543,83855,0,174676,272271,417353,384996
BRFC,623,623,623,612,623,0,623,0,623,431,0,0,0,623,623
USF,227073,227073,227073,222396,227073,0,215982,226860,226828,36861,227073,64339,108678,226984,225345
USU-UTC,25,25,25,10,25,0,25,0,25,25,25,25,25,25,25
NY,4029055,4029055,4029055,3831136,4029055,0,2436291,0,2686881,1469984,3100723,632432,843952,2706629,2512401
UTKH,526,526,526,483,526,0,525,0,0,0,0,0,0,523,0
KU,395584,395584,395576,323483,395584,0,387580,387167,379601,292402,95553,0,246249,373250,325987
MIN,537492,537492,536206,523616,537492,0,388918,0,459568,225430,293092,19760,33991,456546,380475
NCSC,77255,40392,77220,74674,77255,0,40329,0,75773,3474,71907,2290,430,43621,38700
ANSP,3,3,3,1,3,0,1,0,2,0,0,0,0,0,0
BABY,11427,11427,11427,11375,11427,11382,11381,0,11425,11368,0,7003,11356,11427,11374
FTG,78186,78186,78186,72996,78186,0,27941,0,77640,10612,0,0,0,70184,76529
COLO,343783,343783,343783,335560,343783,0,232196,0,342833,125729,337283,70065,100113,284310,228102
SDSU,22675,150,22645,22243,22675,0,21882,0,22617,18287,16354,7540,12168,22658,22060
EKY,80694,0,77126,80199,80694,0,75931,0,80682,6686,74962,1952,13845,80483,78698
RHNM,6,0,6,6,6,0,6,0,6,6,6,5,5,6,6
USA200,1484,1484,1484,1046,1484,0,19,0,1210,2,0,0,0,0,0
CHRB,101011,16,101010,92011,101011,0,31139,0,80819,5186,83736,6330,10040,47741,40017
UCM,19,19,19,0,19,0,0,0,19,13,1,3,4,6,1
CS,57350,57350,57350,57221,57350,0,57339,0,57350,54877,0,0,5611,56115,0
BISON,706,706,24,703,706,0,0,0,706,706,677,0,0,706,706
BUT,43801,43801,43801,43360,43801,0,41674,0,43801,0,0,0,3725,43734,42373
USCH,106036,106036,60992,102921,106036,0,100114,0,104505,21363,56866,0,104047,104774,98271
DES,90488,0,88338,88055,90488,0,87246,0,90089,86067,78086,9589,18983,90460,89594
TULS,8517,8517,8517,8406,8517,0,0,0,0,0,0,0,0,0,0
USA955,1683,1683,1683,1604,1683,0,1181,0,1634,355,0,0,0,0,0
USA042,881,881,881,830,881,0,292,0,844,115,0,0,0,0,0
PRI,3,3,3,2,3,0,3,3,3,2,0,0,0,0,0
USA167,8193,8193,8193,7010,8193,0,4563,0,7131,3847,0,0,0,0,0
SCFS,1689,0,1687,1626,1689,0,1671,0,1686,1661,1549,569,1065,1685,1678
WSCO,4165,0,4055,4045,4165,0,4037,0,4156,1216,0,591,3440,4145,4122
TEX,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
USA134,241,241,241,241,241,0,98,0,224,27,0,0,0,0,0
OBI,62830,0,58765,61354,62830,0,62503,0,62751,36146,58507,6505,18398,62740,61352
USA022,66656,66656,66656,63059,66656,0,35553,0,60345,16865,0,0,0,0,0
NEBC,278160,278160,278160,275785,278160,0,271192,278132,278131,269,268380,7409,5301,278004,268144
USA029,42197,42197,42197,38983,42197,0,17520,0,35732,18306,0,0,0,0,0
USFS/BHSC,3544,3544,3544,3539,3544,0,3512,0,3544,3480,3475,2,46,3544,3530
OSC,165591,165591,165591,163714,165591,0,165145,0,165589,150453,3,162890,165591,165469,162076
UOBS,909,909,909,906,909,0,0,0,0,0,0,0,0,0,0
MSB,8,8,8,0,8,0,8,8,8,1,0,6,8,8,8
UTAH,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
FMNH,23345,23345,23344,2347,23345,0,0,23344,23280,0,11061,0,16549,1902,730
SEOSU,20206,20206,20206,19865,20206,0,0,0,0,0,0,0,0,0,0
CAMU,346,346,346,346,346,0,0,0,0,0,0,0,0,0,0
BOON,16127,0,15276,15785,16127,0,5551,0,15964,3592,11436,193,695,5889,5855
ECU,2436,2436,2436,2380,2436,0,0,0,0,0,0,0,0,0,0
USA074,1909,1909,1909,1862,1909,0,58,0,1596,31,0,0,0,0,0
CHAS,166,166,166,148,166,0,166,166,162,59,33,68,166,166,166
WOH,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
BRIT,19346,19346,19346,13209,19346,0,31,0,17358,10374,0,13502,13671,17822,17234
UCBG,18900,18900,18900,16211,18900,0,18900,0,16530,827,0,0,0,18900,0
SJSU,15931,0,15891,15807,15931,0,15908,0,15926,9427,0,13,44,15931,15865
NEOSU,1121,1121,1121,1102,1121,0,0,0,0,0,0,0,0,0,0
JFBM,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1
USDA-SBML,4,4,4,4,4,0,3,0,4,0,0,0,0,3,0
MPM,107620,107620,107608,98891,107620,0,0,107325,106799,2057,0,0,0,106633,94882
RM,3,3,3,3,3,0,3,0,3,0,3,2,3,3,3
SDNHM,270,270,270,0,270,0,270,0,270,270,0,0,0,270,270
UHM,2252,2252,2252,1429,2252,0,0,0,2151,2151,0,0,0,0,0
LOB,15595,0,14107,14503,15595,0,15489,0,15414,8761,14093,290,1097,15350,14985
MSUB,13469,0,10772,13316,13469,0,11717,0,13390,139,0,2,4164,11974,10779
LSUM,17465,17465,17465,9200,17465,0,17183,0,17282,16671,0,370,5536,17302,17090
University of Colorado Herbarium,21,21,21,21,21,0,1,0,10,0,21,0,0,3,1
USA970,4621,4621,4621,4618,4621,0,14,0,3819,106,0,0,0,0,0
