institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
CSLA,11747,0,11747,0,11533,11747,0,0,0,11644,0,0,11699,11610,10846,1775,1775,1775,6638,0,11747,217,551,11699,11465,9667
UCSB,52097,0,50386,48573,50938,52097,0,0,0,51846,0,0,51754,51615,50702,36813,36813,36813,2950,239,45803,551,3132,51337,50070,44450
UA,41460,41460,41460,0,40893,41460,0,0,0,40668,0,41448,41448,41362,38355,39040,39040,39040,0,0,0,0,17996,41460,39845,0
USA049,7447,7447,7447,0,7420,7447,0,0,0,1205,0,0,5718,0,0,282,282,282,0,0,0,0,0,0,0,0
INHS,56,56,56,0,16,56,0,0,0,56,0,0,56,55,41,49,49,49,0,0,0,0,6,0,51,0
UCR,264722,54,63736,0,255685,264722,0,0,0,264592,0,0,264602,264505,255570,247988,247988,247988,50,0,58003,82556,91613,264722,261907,264691
USA020,35876,35876,35876,0,34972,35876,0,0,0,16581,0,0,33377,0,0,8768,8768,8768,0,0,0,0,0,0,0,0
USA176,2106,2106,2106,0,2100,2106,0,0,0,830,0,0,1996,0,0,43,43,43,0,0,0,0,0,0,0,0
GMDRC,4,4,4,0,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,0,4,0,4,4,4,4
USA390,6215,6215,6215,0,4816,6215,0,0,0,899,0,0,5309,0,0,485,485,485,0,0,0,0,0,0,0,0
USA007,41,41,41,0,37,41,0,0,0,41,0,0,41,0,0,41,41,41,0,0,0,0,0,0,0,0
TTU,2,2,0,0,0,2,0,0,0,2,0,0,2,2,2,2,2,2,2,0,0,0,2,2,2,2
UMD,49190,49190,49190,0,48370,49190,0,0,0,19737,0,0,49170,48974,48819,2720,2720,2720,0,0,0,23238,43334,49189,49056,47837
PSUC,2,2,2,1,1,2,0,0,0,1,0,0,2,2,2,2,2,2,0,0,0,1,2,2,1,0
UWYMED,3,3,3,3,0,3,0,0,0,3,0,0,3,3,3,3,3,3,0,0,0,0,3,3,3,0
USA151,3535,3535,3535,0,3279,3535,0,0,0,1241,0,0,1813,0,0,796,796,796,0,0,0,0,0,0,0,0
USA108,1009,1009,1009,0,881,1009,0,0,0,31,0,0,609,0,0,2,2,2,0,0,0,0,0,0,0,0
RENO,82,82,82,0,82,82,0,0,0,82,0,0,82,82,82,82,82,82,82,0,82,3,82,82,81,82
USA003,10397,10397,10397,0,10104,10397,0,0,0,2350,0,0,8563,0,0,958,958,958,0,0,0,0,0,0,0,0
FLAS,101310,0,101310,101310,96718,101310,0,0,0,0,0,0,101177,97136,82108,21179,21179,21179,0,0,85995,0,0,101309,99529,86426
haw,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0
F,997025,997025,815981,0,892225,997025,0,0,0,331245,654704,970336,962086,525663,251758,810528,810528,810528,0,0,753934,115569,172831,776659,679332,708130
USA004,5823,5823,5823,0,5709,5823,0,0,0,3095,0,0,5552,0,0,2897,2897,2897,0,0,0,0,0,0,0,0
OPSU,2186,2186,2186,0,2181,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEINet,13,10,13,0,13,13,0,0,0,10,0,0,13,13,11,13,13,13,4,0,10,7,11,13,12,11
MCZ,20,20,20,20,16,20,0,0,0,19,20,20,20,19,13,7,7,7,0,0,0,0,20,20,3,0
RSA,435518,435518,131050,435473,424050,435518,0,0,0,435501,0,0,435484,432137,406695,152955,152955,152955,0,0,57673,0,0,435439,422011,435422
DBG,92185,92185,86383,0,84055,92185,0,0,0,85195,0,0,88704,87700,81443,74340,74340,74340,52505,0,83267,8388,18717,89799,89512,66123
KSTC,50877,50877,50822,0,46904,50877,0,0,0,50498,0,48553,48551,48463,46889,22569,22569,22569,0,0,0,0,38196,50510,50211,44622
WCUH,29893,5728,29892,0,29539,29893,0,0,0,6702,0,0,29677,29875,29605,3241,3241,3241,3603,0,22404,483,862,5671,6643,6502
FSC,15140,0,15140,0,14904,15140,0,0,0,9654,0,0,14822,14722,13983,3697,3697,3697,5071,6,13589,1154,3702,9693,9349,7582
OKLA,48318,48318,48318,0,48048,48318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UF,31174,31174,31171,31163,7477,31174,0,0,0,31105,31156,280,31135,30789,29006,28059,28059,28059,0,0,1,0,0,28778,263,0
USA559,420,420,420,0,387,420,0,0,0,142,0,0,369,0,0,161,161,161,0,0,0,0,0,0,0,0
KSP,32690,216,26915,62,31884,32690,0,0,0,31758,0,0,32683,32148,31085,13362,13362,13362,8909,0,0,1476,2840,32680,28661,31771
MICH,942586,942586,942586,487720,826703,942586,0,0,0,942586,0,910777,910708,816590,584543,304775,304775,304775,82614,0,493061,130253,236706,927631,843836,883809
MUR,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"",111967,1780,111846,1117,110717,111967,346,0,0,110065,944,1554,111685,111240,108147,110710,110710,110710,544,0,0,5,26,2261,110204,1506
MSC,179159,179159,179088,179143,164612,179159,0,0,0,179013,171219,171213,169874,131765,101649,25897,25897,25897,0,0,0,0,0,178022,174449,0
TENN,420046,70699,420046,1,397265,420046,0,0,0,184342,0,0,418125,415746,376648,169153,169153,169153,28399,6,356714,10261,57527,189823,185202,157135
SFV,16270,0,16155,0,15943,16270,0,0,0,16237,0,0,16261,16166,15376,14234,14234,14234,11469,0,16155,1636,2802,16270,15960,16095
OKL,122047,122047,122047,0,121182,122047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USU,167031,167031,166797,11,163267,167031,0,0,0,151610,0,0,166495,163371,147869,73095,73095,73095,35878,0,83161,25481,61786,162474,150171,145195
USA133,3606,3606,3606,0,3574,3606,0,0,0,122,0,0,259,0,0,119,119,119,0,0,0,0,0,0,0,0
GH,603948,603948,603948,603804,590714,603948,0,0,0,571873,592896,592895,584162,541939,338798,8670,8670,8670,55961,0,522854,84545,19069,600611,331001,265887
