institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
ncsc,76822,40092,76787,76822,0,40046,75360,3415,71478,2471,429,43317,39451
usms,18291,0,17666,18291,0,17168,17976,10297,16436,882,1228,16064,15078
colo,314618,263954,314618,314618,0,215714,313956,88170,299783,88265,94232,266799,221863
wva,12153,0,12153,12153,0,958,11749,13,12152,12,15,4559,1404
cicimar-ipn,3350,3350,3350,3350,3051,3350,3275,3275,0,0,3350,3350,3275
ephr,1746,0,1745,1746,0,1695,1735,9,0,40,44,1743,1692
calvin,4825,0,4825,4825,0,4692,4760,0,4646,0,0,4825,4664
nmnhi,60,0,0,60,0,59,60,12,0,19,60,60,59
calcofi-sio-ucsd,5,5,5,5,5,5,5,5,0,0,5,5,5
ld,914579,914579,914579,914579,0,914566,913203,873205,0,0,0,912413,0
tle,25440,0,25440,25440,0,24992,25341,13944,24017,21758,22265,25420,25138
universidade regional integrada do alto uruguai e das missões,10705,10705,10705,8431,0,3219,1290,0,0,1763,4904,10663,0
aua,28127,0,28127,28127,0,27898,28062,1637,27820,2944,3017,27927,3235
cib-uv,9476,9476,9476,9476,7846,9476,9474,9418,0,0,9476,9476,9476
farm,47030,0,47026,47030,0,9,46859,4,39443,4,4,9,9
una,2394,0,2394,2394,0,2388,2377,2229,2363,490,525,2394,2302
trh,381726,381726,381726,381726,0,381716,381332,320139,131838,333790,381471,381700,0
hchm,4051,0,4051,4051,0,3907,3948,4,3943,66,3424,3892,3709
connecituct college,1067,1067,1067,1067,0,574,924,0,1064,164,164,959,919
csiro,196,196,196,196,0,0,192,194,0,0,0,0,196
awi,1,1,1,1,1,1,1,1,0,0,1,1,1
pu,3,3,3,3,3,3,3,3,0,0,3,3,3
wis,504031,1,503933,504031,0,482420,501443,170331,383541,181553,192409,501590,474434
fa-uanl,75,75,75,75,75,75,75,75,0,0,75,75,75
omnh,5,5,5,5,0,0,5,0,0,0,0,0,0
usuub,6845,0,6839,6838,0,6492,6845,6555,0,6795,6800,6841,6821
usch,104983,104539,58685,104983,0,99001,102575,21042,55202,671,103066,103787,94129
ftu,19346,0,19346,19346,0,1529,18025,1528,18923,211,895,1529,1443
univasf,23798,23798,23798,23768,0,23798,1,20712,0,21412,21428,23798,0
usfs/bhsc,341,0,341,341,0,340,341,340,303,2,2,341,340
us,3178979,3178979,2907734,3178978,0,2925066,3112641,529671,2366710,0,450893,3166866,0
nava,12737,0,12609,12737,0,2634,12733,2092,2059,931,2262,12723,2619
cata,2832,2832,2832,2832,0,2832,2832,1475,0,0,0,2827,2829
"pt: sel, usf",1,0,1,1,0,1,1,1,1,0,0,1,1
usf,241732,224594,241732,241732,0,230628,240202,51993,240103,93564,108846,241606,237998
ne,73797,73797,73797,73797,0,72777,73692,69749,0,71148,73797,60076,72870
reno,102497,102497,102497,102497,0,101202,102494,80194,22247,20753,25112,102497,101302
nhmo,1,1,1,1,0,0,0,0,0,0,0,0,0
mdky,10278,0,10278,10278,0,0,10275,0,9337,0,0,0,0
clt,1,1,1,1,0,0,0,0,1,0,0,0,0
ufmt,19321,19321,19321,18413,0,18232,19,6243,0,9405,9686,19321,0
pac,30167,0,30167,30167,0,5042,30149,128,28702,113,165,5433,5105
uesb,14238,14238,14238,10332,0,13472,0,10399,0,5983,5781,14238,0
unesc,11344,11344,11344,11095,0,8065,4,8926,0,4109,8240,9671,0
ufrb,24062,24062,24062,20001,0,21612,4,11349,0,6880,7772,24014,0
enlc,6059,3,5317,6059,0,5931,6059,5758,289,3600,4907,6058,5961
wet,4421,0,0,4421,0,3150,4292,3119,0,24,32,4224,4201
universidade federal de santa catarina,60814,60814,60814,58342,0,56129,357,16418,0,22539,43339,60800,0
pnfm,9488,9488,9488,7421,0,9072,58,8386,0,6751,6821,9488,0
jmuh,5062,0,5062,5062,0,4838,4797,784,4654,0,0,4838,4811
fafnr-czu,50,50,50,50,43,50,0,0,0,0,50,50,0
sbml-ars-usda,2,2,2,2,2,2,2,1,0,0,2,2,2
ucmp,61968,61968,61968,60329,0,60278,60605,13532,914,0,0,32638,0
fca-uaem,7370,7370,7370,7370,7340,7370,312,302,0,0,7370,7370,7367
nt,1,1,1,1,0,1,0,1,0,0,0,0,0
geo,14856,14856,14856,14856,0,13449,12664,2591,9796,0,0,14519,14331
movc,2572,0,0,2572,0,2499,2572,2449,0,2,2,2369,2504
uaa,304,304,304,304,304,304,304,304,0,0,304,304,304
fitecma-umsnh,38,38,38,38,38,38,38,1,0,0,38,38,36
haw,4189,4189,4189,4189,0,1657,2938,1,4025,0,483,3398,1
bfri,68,68,68,68,56,68,67,0,0,0,68,68,0
bnhm-ucb,16,16,16,16,16,16,16,16,0,0,16,16,16
ujat,12129,12129,12129,12129,11439,12129,12128,4978,0,0,12122,12129,12034
mca,51316,0,51316,51316,0,50430,51311,13492,50545,5,5,51315,50544
museu de ciências naturais - fundação zoobotânica do rio grande do sul,39861,39861,39861,38238,0,36558,487,4336,0,18735,24905,39704,0
jroh,4747,4747,4747,4747,0,4747,4747,3688,0,0,0,4747,4735
funed,4858,4858,4858,4501,0,4799,0,2090,0,0,0,1942,0
seney,741,0,741,741,0,734,730,0,734,283,283,741,693
pri,729,729,729,714,0,729,716,70,0,1,15,194,12
ypm,276902,276902,276902,276902,0,143726,207471,181658,179160,5171,14375,193725,159384
bartlet arboretum,3765,3765,3765,3765,0,3070,3636,1579,3729,126,135,3701,3710
universidade federal da bahia,114001,114001,114001,111380,0,103342,648,81525,0,71163,75295,113999,0
nczp,2343,0,1451,2343,0,1423,2323,1,1271,14,14,2340,2282
bhsc,1603,0,1603,1603,0,1603,1603,1474,1572,11,11,1603,1603
udeo,9,9,9,9,9,9,9,9,0,0,9,9,9
cihs-uacam,11165,11165,11165,11165,11127,11165,11165,11165,0,0,11165,11165,11139
mass,8723,0,8723,8723,0,8723,8564,8558,8723,23,28,8712,7624
"universidade federal da paraíba, ufpb",7056,7056,7056,6118,0,4434,12,465,0,2651,2918,3165,0
seinet,268,33,266,268,0,261,268,263,15,93,108,268,262
uhm,1519,1519,1519,1519,0,1418,1488,1460,644,534,1055,1392,1368
fhsm,1,1,1,0,0,1,1,0,1,0,1,1,0
bing,19758,0,19758,19758,0,11033,11841,5081,18925,7846,10283,11347,10951
