or_institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
MOR,103504,85840,103504,0,103504,0,0,0,95340,0,103302,103345,103092,101545,18063,18063,18063,615,0,58291,3089,16943,103063,101045,101338
UCSB,36816,36816,36816,46,36815,0,0,0,36804,0,36814,36814,36814,36814,17708,17708,17703,25631,0,28,8,6,36246,36410,33453
BLMMD,4700,4700,4700,0,4700,0,4631,0,4087,4557,3158,4552,3159,4546,3643,3643,1460,3515,0,2534,1,2949,4611,4500,1175
DEWV,10482,0,10482,0,10463,0,0,0,10456,0,10482,10482,10482,10476,5102,5102,5043,5135,0,0,12,2181,10470,10475,10023
Bartlet Arboretum,3765,3765,3765,0,3765,0,0,0,3070,0,2899,3636,3603,1923,1579,1579,1579,7,0,3729,126,135,3701,3710,1076
SC,3872,0,3872,0,3872,0,0,0,666,0,3797,3810,3794,2816,314,314,314,138,0,3515,664,665,672,590,628
GRCH,2325,2325,2325,0,2325,0,0,0,2251,0,2325,2325,2325,2314,1719,1719,1719,3,0,0,204,238,2305,2242,2236
UWL,7385,0,7385,0,7385,0,0,0,6904,0,7383,7384,7383,7345,7018,7018,7018,189,0,7381,7049,7054,7162,6992,7046
RMS,32469,0,32466,0,32469,0,0,0,18932,0,25921,26181,23424,12076,4755,4759,4755,3256,1,29818,396,16941,31534,31853,22965
MOVC,2607,0,0,0,2607,0,0,0,2529,0,2606,2607,2606,2450,2479,2479,2479,0,0,0,2,2,2401,2533,2059
NEBK,11186,0,11131,0,11186,0,0,0,10970,0,11033,11033,11046,10276,10,9,9,182,0,3971,1,2948,11038,10960,9227
INHS,57,57,57,56,57,0,0,0,55,0,55,55,54,42,50,50,50,7,0,0,2,7,1,50,0
UCR,420768,420767,154233,0,420768,0,0,0,420756,0,420421,420757,420635,411438,401062,401060,401028,145504,0,54,76936,86589,420768,154199,420718
GSW,13055,0,13055,1,13055,0,0,0,3512,0,13009,13024,12957,12365,1049,1049,1049,594,0,12871,71,113,3619,3547,3424
MWCF,5943,0,5943,0,5943,0,0,0,5445,0,5893,5908,5704,3082,1006,1006,1006,2308,19,2168,955,4106,5496,4684,403
ALBC,236,0,236,0,236,0,0,0,197,0,175,187,183,161,0,0,0,1,0,236,33,35,227,227,207
LA,17186,17186,17186,0,17186,0,0,0,16187,0,17186,17186,17186,17186,13547,13547,13547,9118,0,0,0,0,17186,16757,16432
PEMB,4475,0,4475,0,4475,0,0,0,3207,0,4469,4469,4469,4464,2033,2032,2032,77,0,4207,3397,3401,3429,3202,3208
EVE,1124,434,1124,0,1124,0,412,0,1114,432,1114,1118,1113,1031,379,379,379,586,0,247,27,708,1117,1084,841
DSUND,1431,0,1421,0,1431,0,0,0,193,0,1260,1316,1260,1039,949,949,949,3,0,5,36,1116,1206,1210,42
HCHM,4051,0,4051,0,4051,0,0,0,3908,0,3948,3948,3852,3502,4,4,4,11,0,3944,66,3424,3892,3709,3452
GMDRC,5498,5498,5498,0,5498,0,0,0,5496,0,5498,5498,5498,5498,5122,5122,5122,5436,0,5,5,5,5498,5495,5423
"SEL, CM",1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
TTU,10,10,9,9,10,0,0,0,8,0,10,10,10,3,8,8,8,1,0,0,0,1,3,1,1
PSUC,19,19,19,1,19,0,0,0,2,0,4,4,4,2,6,6,6,0,0,0,1,4,10,8,0
GMS,8142,0,8141,0,8142,0,0,0,8141,0,8070,8101,8031,7797,8023,8023,8023,3,0,8005,0,0,8037,7877,7986
USFS,8337,8337,3294,0,8337,0,0,0,8074,0,8257,8260,8258,7857,6464,6463,6463,6579,0,149,2250,4693,8135,7860,6585
CLARK-A,7372,7372,7372,0,7372,0,0,0,7033,0,7372,7372,7372,7372,6513,6513,6513,3210,0,0,0,0,7333,7355,4250
RENO,105161,105161,105161,0,105161,0,0,0,104102,0,105130,105160,105144,104583,104350,104350,104344,73190,4,25443,24385,28635,105161,104054,104434
WJC,711,0,711,0,711,0,0,0,624,0,704,706,704,632,0,0,0,0,0,0,520,523,710,706,705
"SEL, MO",1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
FLAS,175141,0,175140,101314,174817,0,0,0,63834,0,167692,167925,163152,135127,74616,74678,74490,8770,0,157143,7853,41337,168104,162604,118172
