recordset_UUID,Link,name,IN/OUT,,,
a0546df1-b727-402f-b9b8-570e65e58026,https://www.idigbio.org/portal/recordsets/a0546df1-b727-402f-b9b8-570e65e58026,"Vascular Herbarium, NMBU",OUT,,,
62a36329-6b82-48bc-94d8-1cb9adb91ab5,https://www.idigbio.org/portal/recordsets/62a36329-6b82-48bc-94d8-1cb9adb91ab5,Botany (UPS),OUT,,,
3799e4f9-f685-4796-99b5-f78524441b93,https://www.idigbio.org/portal/recordsets/3799e4f9-f685-4796-99b5-f78524441b93,"Base de datos del Herbario CIQR de El Colegio de la Frontera Sur, unidad Chetumal",OUT,,,
046a2685-be26-4d6e-80cc-d95e907922fa,https://www.idigbio.org/portal/recordsets/046a2685-be26-4d6e-80cc-d95e907922fa,HCDAL - Herbário Caririense Dárdano de Andrade-Lima,OUT,,,
207b6c64-7b58-4d6a-816d-bc759c27eafc,https://www.idigbio.org/portal/recordsets/207b6c64-7b58-4d6a-816d-bc759c27eafc,"Vascular plant herbarium TRH, NTNU University Museum",OUT,,,
77e7e6bd-7822-4b84-a46b-39a06abdac2e,https://www.idigbio.org/portal/recordsets/77e7e6bd-7822-4b84-a46b-39a06abdac2e,Carnegie Museum of Natural History - Mollusks,IN,"NOTE: although this is a mollusk collection, we do not know if there are plant data. Please ONLY use IN/OUT to indicate US-based publisher or not.",,
2e3a8e5c-eef9-462d-a690-3a91fe111e13,https://www.idigbio.org/portal/recordsets/2e3a8e5c-eef9-462d-a690-3a91fe111e13,Indiana University Herbarium,IN,,,
4efa0623-a625-4949-aea4-7cb60a99b6f8,https://www.idigbio.org/portal/recordsets/4efa0623-a625-4949-aea4-7cb60a99b6f8,Swaner Preserve and EcoCenter,OUT,,,
8295ea14-c4fd-499b-bc68-2907ed36badc,https://www.idigbio.org/portal/recordsets/8295ea14-c4fd-499b-bc68-2907ed36badc,Fort Lewis College Herbarium,IN,,,
382ecf04-5613-4825-99d6-a4665a93fc7e,https://www.idigbio.org/portal/recordsets/382ecf04-5613-4825-99d6-a4665a93fc7e,Estructura y variación geográfica de las asociaciones de diatomeas bentónicas de la Península de Baja California; Bahía de La Paz,OUT,,,
0bfd2d69-2a35-4291-9e73-bd311463bd15,https://www.idigbio.org/portal/recordsets/0bfd2d69-2a35-4291-9e73-bd311463bd15,Naturalis Biodiversity Center (NL) - Coleoptera,OUT,,,
fccc3c1d-d9df-4ffd-b7e1-1b9eb11f95b1,https://www.idigbio.org/portal/recordsets/fccc3c1d-d9df-4ffd-b7e1-1b9eb11f95b1,University of Florida Herbarium,IN,,,
05498053-5a06-45d5-bf6c-dbea1c42cb2b,https://www.idigbio.org/portal/recordsets/05498053-5a06-45d5-bf6c-dbea1c42cb2b,EAC - Herbário Prisco Bezerra,OUT,,,
196bb137-2f82-40d5-b294-e730af29749f,https://www.idigbio.org/portal/recordsets/196bb137-2f82-40d5-b294-e730af29749f,The University of Arizona Herbarium,IN,,,
025a810b-28f6-427d-b342-16fdf5f74f4b,https://www.idigbio.org/portal/recordsets/025a810b-28f6-427d-b342-16fdf5f74f4b,The Orthoptera collection (EO) of the Muséum national d'Histoire naturelle (MNHN - Paris),OUT,,,
a8823dd5-32d7-4465-932b-accdf76ef4ff,https://www.idigbio.org/portal/recordsets/a8823dd5-32d7-4465-932b-accdf76ef4ff,"Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit",OUT,,,
50ee2f53-7f79-4808-bceb-3e660fd1e666,https://www.idigbio.org/portal/recordsets/50ee2f53-7f79-4808-bceb-3e660fd1e666,"Sistematización de la colección entomológica y actualización de la colección del herbario CHIP del Instituto de Historia Natural y Ecología (IHNE), Chiapas",OUT,,,
b9ab58cf-785e-44a7-a873-1966e14a6715,https://www.idigbio.org/portal/recordsets/b9ab58cf-785e-44a7-a873-1966e14a6715,DAV UC Davis Center for Plant Diversity,IN,,,
1f8c7572-5cda-44be-9a78-0658217fc279,https://www.idigbio.org/portal/recordsets/1f8c7572-5cda-44be-9a78-0658217fc279,University of South Alabama Herbarium,IN,,,
080aa588-2f4c-4d65-8a55-f0b83e8aa7e6,https://www.idigbio.org/portal/recordsets/080aa588-2f4c-4d65-8a55-f0b83e8aa7e6,HUTO - Herbário da Universidade de Tocantins,OUT,,,
9357e02f-20fc-4bc5-9bcb-dc8abcbebf16,https://www.idigbio.org/portal/recordsets/9357e02f-20fc-4bc5-9bcb-dc8abcbebf16,La vegetación y flora de las Lagunas de Catazajá-Emiliano Zapata,OUT,,,
67893f3c-c409-41c6-a8f2-47956739a911,https://www.idigbio.org/portal/recordsets/67893f3c-c409-41c6-a8f2-47956739a911,Huntington University Herbarium,IN,,,
c282d7ee-b624-42a2-ace1-aff9bfff5e7c,https://www.idigbio.org/portal/recordsets/c282d7ee-b624-42a2-ace1-aff9bfff5e7c,"Moss herbarium, UiB",OUT,,,
d1b25dcd-472e-4902-b53c-3b164269e049,https://www.idigbio.org/portal/recordsets/d1b25dcd-472e-4902-b53c-3b164269e049,University of Connecticut,IN,,,
5f513dff-ccd8-4578-ad0b-5e6cf035e4d1,https://www.idigbio.org/portal/recordsets/5f513dff-ccd8-4578-ad0b-5e6cf035e4d1,CESJ - Herbário Leopoldo Krieger,OUT,,,
