uuid,name
d2e46893-099f-45eb-9a76-d2a66f43bec8,Computarización de la colección de mamíferos del Centro de Educación Ambiental e Investigación Sierra de Huautla (CEAMISH) de la Universidad Autónoma del Estado de Morelos (UAEM)
03e291b1-e74e-489a-8ec9-d23ff481c13c,Filogenia de las cactáceas columnares (Pachycereeae) con base en caracteres anatómico-morfológicos
cdb6ec43-935e-4da2-8798-71e40ca6d12a,Naturalis Biodiversity Center (NL) - Mollusca
35879d2c-063f-4046-9ac6-eda6410e21a9,University Museum of Bergen
9475a9e1-cd56-4f5c-8d21-4206b088231b,"Macroarthropods, Godthåbsfjorden (Nuup Kangerlua) 2013, Greenland"
9c963109-9898-4953-a351-d5ee36d6115b,West Virginia University Herbarium
1c8ec291-8067-4b48-848b-410c2c768420,University of South Florida Herbarium
c3a7b339-122e-4fe9-8851-371b1fdf584e,University of Central Florida Herbarium
0d05a365-36e8-4150-a350-23ed33f79b17,Ohio University Invertebrate Paleontology Collection
d38fd1e8-bc15-46b2-92d5-5f3df98cff53,Gothenburg Herbarium - General (GBIF:IH:GB:Herbarium)
8dc14464-57b3-423e-8cb0-950ab8f36b6f,California Academy of Sciences
ea3c3b03-0ed5-42fc-b192-7328459ea04a,Banco de datos florísticos del Herbario CHAP
2b03a9d6-3575-43ea-8f43-38cbe0ee72e6,Tall Timbers Research Station - Ornithology
41350373-fc6f-4dd9-b908-27805fff9155,Boise State University Lichen Herbarium
6e922c92-b37d-4c46-8982-19d945ff8fd1,Grand Valley State University
080f57e4-505c-4e56-bfad-d1861609f146,"Brioflora de la Reserva de Montes Azules, Chis.: Diversidad, Biogeografía y Depauperación por Actividad Humana"
84006c59-fead-4b84-b3b5-cedf28f67ea9,"Stuart M. Fullerton Collection of Arthropods (UCFC), University of Central Florida"
9a0d6dc0-689f-4327-8cf3-1c530443f49a,"Diversidad del ictioplancton en las lagunas Madre y Almagre, Tamaulipas, y laguna de Tampamachoco, Veracruz"
a9223e1d-7a81-4311-800e-211c5a1b8205,Sistema de apoyo a la toma de decisiones para la reforestación rural en México
8cae9490-b1c1-4199-a44e-3a1396666072,Base de datos y colección de distintos grupos del zooplancton de regiones marinas prioritarias de Jalisco y Colima en el Pacífico mexicano
767c78b4-1c16-4cac-ad04-66333ac5a7f2,Marie Selby Botanical Gardens Herbarium
7340c0df-8829-4197-9dc7-0328b8e7f5dd,University of Montana Herbarium
21b563bc-70c2-46d5-bce8-2489db2db3d8,"East Tennessee State University, John C. Warden Herbarium"
459bd81e-63b9-47d2-9818-dceb6657bea0,"University of Michigan Museum of Zoology, Division of Fishes"
