institutionCode,total_gbif,total_count_observed_num_times
A,246486,1
A,246559,2
AMES,51297,1
AMES,51327,2
AMNH,82,1
AMNH,84,2
ANSP,3,3
ASU,369412,2
ASU,377252,1
BABY,11427,3
BEREA,24281,2
BEREA,25984,1
BHSC,15242,1
BHSC,18315,1
BHSC,20807,1
BISON,706,3
BOON,16127,3
BPBM,421066,3
BPI,4,3
BRFC,623,3
BRIT,19342,2
BRIT,19346,1
BRU,15388,3
BUF,53787,2
BUF,56258,1
BUT,43719,1
BUT,43801,1
BUT,43804,1
BYU,36,3
CAMU,346,3
CAS,595732,1
CAS,603113,1
CAS,607615,1
CHAS,166,3
CHRB,101011,2
CHRB,102216,1
CHSC,102724,1
CHSC,102773,1
CHSC,102821,1
CM,10,1
CM,534161,1
CM,534999,1
CMC,21995,1
CMC,22003,1
CMC,22397,1
CMNH,129,3
COA,1,3
COLO,343803,2
COLO,343804,1
CS,57350,3
CSLA,6113,1
CSLA,8924,1
CSLA,11747,1
CSU,9722,2
CSU,9916,1
DAV,137775,1
DAV,138011,1
DAV,138094,1
DBG,91458,2
DBG,92185,1
DES,90488,1
DES,91235,1
DES,91263,1
DMNH,57,2
DMNS,10,1
DMNS,11,2
DUKE,282244,2
DUKE,283768,1
ECON,6169,1
ECON,6176,2
ECU,2423,2
ECU,2436,1
EKY,80483,1
EKY,80694,1
EKY,80953,1
ENLC,3,3
F,997025,3
FH,235586,1
FH,236827,2
FHSM,3,2
FLAS,100576,1
FLAS,101045,1
FLAS,101310,1
FMNH,23345,3
FSC,14800,1
FSC,15140,2
FTG,78186,3
GH,603888,1
GH,603948,2
GMDRC,4,3
GMNH,175,1
GMNH,180,1
GUAM,595,3
haw,1,3
HSC,75042,1
HWML,80,3
INHS,56,3
JFBM,1,1
JFBM,9,2
KHD,1,3
KNWR,2497,1
KNWR,2502,2
KSP,22819,2
KSP,32690,1
KSTC,50877,3
KU,395584,1
KU,399972,1
KU,403991,1
LACM,187,3
LOB,15595,1
LOB,15781,1
LOB,15823,1
Logan,3,3
LSU,163406,3
LSUM,14729,2
LSUM,17465,1
MACF,5431,1
MACF,6118,1
MACF,6164,1
MCZ,8,1
MCZ,20,2
MICH,940377,1
MICH,941837,1
MICH,942586,1
MIN,537492,1
MIN,560127,1
MIN,560702,1
MISS,55629,3
MO,4698453,1
MO,4734422,1
MO,4752139,1
MPM,107620,2
MPM,126131,1
MSB,8,3
MSC,179159,2
MSC,179185,1
MSUB,10769,1
MSUB,13469,2
MUR,1,3
NAUF,38,3
NCSC,77255,2
NCSC,106360,1
NCSM,2089,1
NCSM,4025,2
NCU,429141,2
NCU,429378,1
NEBC,278158,2
NEBC,278160,1
NEON,120,1
NEON,121,1
NEON,3462,1
NEOSU,1095,2
NEOSU,1121,1
NHA,57712,3
NMMNHS,3622,1
NMSU,3,3
NPS,1,3
NTSRV,218406,3
NWOSU,93,2
NWOSU,94,1
NY,4029055,1
NY,4029219,1
NY,4029920,1
OBI,62830,1
OBI,62893,1
OBI,63419,1
OCLA,12234,2
OCLA,12454,1
OKL,122047,2
OKL,123767,1
OKLA,48318,2
