institutionCode,variable,counts
CSLA,total,6113
CSLA,has_collectionCode,0
CSLA,has_catalogNumber,6113
CSLA,has_speciesKey,6022
CSLA,has_scientificName,6113
CSLA,has_acceptedNameUsage,0
CSLA,has_locality,6059
CSLA,has_higherGeography,0
CSLA,has_countryCode,5958
CSLA,has_coordinates,761
CSLA,has_image,6113
CSLA,has_dateIdentified,78
CSLA,has_identifiedBy,321
CSLA,has_recordedBy,6082
CSLA,has_eventDate,5973
UCSB,total,50440
UCSB,has_collectionCode,0
UCSB,has_catalogNumber,48717
UCSB,has_speciesKey,49494
UCSB,has_scientificName,50440
UCSB,has_acceptedNameUsage,0
UCSB,has_locality,50227
UCSB,has_higherGeography,0
UCSB,has_countryCode,50093
UCSB,has_coordinates,32656
UCSB,has_image,44152
UCSB,has_dateIdentified,407
UCSB,has_identifiedBy,2889
UCSB,has_recordedBy,49698
UCSB,has_eventDate,48409
UA,total,41460
UA,has_collectionCode,41460
UA,has_catalogNumber,41460
UA,has_speciesKey,40893
UA,has_scientificName,41460
UA,has_acceptedNameUsage,0
UA,has_locality,40668
UA,has_higherGeography,0
UA,has_countryCode,41448
UA,has_coordinates,39040
UA,has_image,0
UA,has_dateIdentified,0
UA,has_identifiedBy,17996
UA,has_recordedBy,41460
UA,has_eventDate,39845
USA049,total,7447
USA049,has_collectionCode,7447
USA049,has_catalogNumber,7447
USA049,has_speciesKey,7420
USA049,has_scientificName,7447
USA049,has_acceptedNameUsage,0
USA049,has_locality,1205
USA049,has_higherGeography,0
USA049,has_countryCode,5718
USA049,has_coordinates,282
USA049,has_image,0
USA049,has_dateIdentified,0
USA049,has_identifiedBy,0
USA049,has_recordedBy,0
USA049,has_eventDate,0
INHS,total,56
INHS,has_collectionCode,56
INHS,has_catalogNumber,56
INHS,has_speciesKey,16
INHS,has_scientificName,56
INHS,has_acceptedNameUsage,0
INHS,has_locality,56
INHS,has_higherGeography,0
INHS,has_countryCode,56
INHS,has_coordinates,49
INHS,has_image,0
INHS,has_dateIdentified,0
INHS,has_identifiedBy,6
INHS,has_recordedBy,0
INHS,has_eventDate,51
UCR,total,264382
UCR,has_collectionCode,54
UCR,has_catalogNumber,50239
UCR,has_speciesKey,254252
UCR,has_scientificName,264382
UCR,has_acceptedNameUsage,0
UCR,has_locality,264281
UCR,has_higherGeography,0
UCR,has_countryCode,264292
UCR,has_coordinates,247533
UCR,has_image,38922
UCR,has_dateIdentified,81158
UCR,has_identifiedBy,90264
UCR,has_recordedBy,264382
UCR,has_eventDate,261568
USA020,total,35876
USA020,has_collectionCode,35876
USA020,has_catalogNumber,35876
USA020,has_speciesKey,34972
USA020,has_scientificName,35876
USA020,has_acceptedNameUsage,0
USA020,has_locality,16581
USA020,has_higherGeography,0
USA020,has_countryCode,33574
USA020,has_coordinates,8768
USA020,has_image,0
USA020,has_dateIdentified,0
USA020,has_identifiedBy,0
USA020,has_recordedBy,0
USA020,has_eventDate,0
USA176,total,2106
USA176,has_collectionCode,2106
USA176,has_catalogNumber,2106
USA176,has_speciesKey,2100
USA176,has_scientificName,2106
USA176,has_acceptedNameUsage,0
USA176,has_locality,830
USA176,has_higherGeography,0
USA176,has_countryCode,1996
USA176,has_coordinates,43
USA176,has_image,0
USA176,has_dateIdentified,0
USA176,has_identifiedBy,0
USA176,has_recordedBy,0
USA176,has_eventDate,0
USA390,total,6215
USA390,has_collectionCode,6215
USA390,has_catalogNumber,6215
USA390,has_speciesKey,4816
USA390,has_scientificName,6215
USA390,has_acceptedNameUsage,0
USA390,has_locality,899
USA390,has_higherGeography,0
USA390,has_countryCode,5309
USA390,has_coordinates,485
USA390,has_image,0
USA390,has_dateIdentified,0
USA390,has_identifiedBy,0
USA390,has_recordedBy,0
USA390,has_eventDate,0
GMDRC,total,4
GMDRC,has_collectionCode,4
GMDRC,has_catalogNumber,4
GMDRC,has_speciesKey,4
GMDRC,has_scientificName,4
GMDRC,has_acceptedNameUsage,0
GMDRC,has_locality,4
GMDRC,has_higherGeography,0
GMDRC,has_countryCode,4
GMDRC,has_coordinates,4
GMDRC,has_image,4
GMDRC,has_dateIdentified,0
GMDRC,has_identifiedBy,4
GMDRC,has_recordedBy,4
GMDRC,has_eventDate,4
TTU,total,25
TTU,has_collectionCode,25
TTU,has_catalogNumber,23
TTU,has_speciesKey,15
TTU,has_scientificName,25
TTU,has_acceptedNameUsage,0
TTU,has_locality,25
TTU,has_higherGeography,0
TTU,has_countryCode,25
TTU,has_coordinates,25
TTU,has_image,0
TTU,has_dateIdentified,0
TTU,has_identifiedBy,3
TTU,has_recordedBy,12
TTU,has_eventDate,20
USA007,total,41
USA007,has_collectionCode,41
USA007,has_catalogNumber,41
USA007,has_speciesKey,37
USA007,has_scientificName,41
USA007,has_acceptedNameUsage,0
USA007,has_locality,41
USA007,has_higherGeography,0
USA007,has_countryCode,41
USA007,has_coordinates,41
USA007,has_image,0
USA007,has_dateIdentified,0
USA007,has_identifiedBy,0
USA007,has_recordedBy,0
USA007,has_eventDate,0
PSUC,total,2
PSUC,has_collectionCode,2
PSUC,has_catalogNumber,2
PSUC,has_speciesKey,1
PSUC,has_scientificName,2
PSUC,has_acceptedNameUsage,0
PSUC,has_locality,1
PSUC,has_higherGeography,0
PSUC,has_countryCode,2
PSUC,has_coordinates,2
PSUC,has_image,0
PSUC,has_dateIdentified,1
PSUC,has_identifiedBy,2
PSUC,has_recordedBy,2
PSUC,has_eventDate,1
UMD,total,49190
UMD,has_collectionCode,49190
UMD,has_catalogNumber,49190
UMD,has_speciesKey,48370
UMD,has_scientificName,49190
UMD,has_acceptedNameUsage,0
UMD,has_locality,19737
UMD,has_higherGeography,0
UMD,has_countryCode,49170
UMD,has_coordinates,2720
UMD,has_image,0
UMD,has_dateIdentified,23238
UMD,has_identifiedBy,43334
UMD,has_recordedBy,49189
UMD,has_eventDate,49056
UWYMED,total,3
UWYMED,has_collectionCode,3
UWYMED,has_catalogNumber,3
UWYMED,has_speciesKey,0
UWYMED,has_scientificName,3
UWYMED,has_acceptedNameUsage,0
UWYMED,has_locality,3
UWYMED,has_higherGeography,0
UWYMED,has_countryCode,3
UWYMED,has_coordinates,3
UWYMED,has_image,0
UWYMED,has_dateIdentified,0
UWYMED,has_identifiedBy,3
UWYMED,has_recordedBy,3
UWYMED,has_eventDate,3
USA151,total,3535
USA151,has_collectionCode,3535
USA151,has_catalogNumber,3535
USA151,has_speciesKey,3279
USA151,has_scientificName,3535
USA151,has_acceptedNameUsage,0
USA151,has_locality,1241
USA151,has_higherGeography,0
USA151,has_countryCode,1813
USA151,has_coordinates,796
USA151,has_image,0
USA151,has_dateIdentified,0
USA151,has_identifiedBy,0
USA151,has_recordedBy,0
USA151,has_eventDate,0
USA108,total,1009
USA108,has_collectionCode,1009
USA108,has_catalogNumber,1009
USA108,has_speciesKey,881
USA108,has_scientificName,1009
USA108,has_acceptedNameUsage,0
USA108,has_locality,31
USA108,has_higherGeography,0
USA108,has_countryCode,609
USA108,has_coordinates,2
USA108,has_image,0
USA108,has_dateIdentified,0
USA108,has_identifiedBy,0
USA108,has_recordedBy,0
USA108,has_eventDate,0
RENO,total,82
RENO,has_collectionCode,82
RENO,has_catalogNumber,82
RENO,has_speciesKey,82
RENO,has_scientificName,82
RENO,has_acceptedNameUsage,0
RENO,has_locality,82
RENO,has_higherGeography,0
RENO,has_countryCode,82
RENO,has_coordinates,82
RENO,has_image,82
RENO,has_dateIdentified,3
RENO,has_identifiedBy,82
RENO,has_recordedBy,82
RENO,has_eventDate,81
USA003,total,10397
USA003,has_collectionCode,10397
USA003,has_catalogNumber,10397
USA003,has_speciesKey,10104
USA003,has_scientificName,10397
USA003,has_acceptedNameUsage,0
USA003,has_locality,2350
USA003,has_higherGeography,0
USA003,has_countryCode,8564
USA003,has_coordinates,958
USA003,has_image,0
USA003,has_dateIdentified,0
USA003,has_identifiedBy,0
USA003,has_recordedBy,0
USA003,has_eventDate,0
haw,total,1
haw,has_collectionCode,1
haw,has_catalogNumber,1
haw,has_speciesKey,1
haw,has_scientificName,1
haw,has_acceptedNameUsage,0
haw,has_locality,1
haw,has_higherGeography,0
haw,has_countryCode,1
haw,has_coordinates,1
haw,has_image,0
haw,has_dateIdentified,0
haw,has_identifiedBy,1
haw,has_recordedBy,1
haw,has_eventDate,1
FLAS,total,100576
FLAS,has_collectionCode,0
FLAS,has_catalogNumber,100576
FLAS,has_speciesKey,96658
FLAS,has_scientificName,100576
FLAS,has_acceptedNameUsage,0
FLAS,has_locality,0
FLAS,has_higherGeography,0
FLAS,has_countryCode,100443
FLAS,has_coordinates,20995
FLAS,has_image,75656
FLAS,has_dateIdentified,0
FLAS,has_identifiedBy,0
FLAS,has_recordedBy,100575
FLAS,has_eventDate,98800
F,total,997025
