data_provider,institutionCode,variable,counts
idigbio,MOR,total,103505
idigbio,MOR,has_collectionCode,85840
idigbio,MOR,has_catalogNumber,103505
idigbio,MOR,has_scientificName,103505
idigbio,MOR,has_acceptedNameUsage,0
idigbio,MOR,has_locality,95341
idigbio,MOR,has_countryCode,103346
idigbio,MOR,has_coordinates,18063
idigbio,MOR,has_image,58292
idigbio,MOR,has_dateIdentified,3089
idigbio,MOR,has_identifiedBy,16943
idigbio,MOR,has_recordedBy,103064
idigbio,MOR,has_eventDate,101046
idigbio,UCSB,total,36815
idigbio,UCSB,has_collectionCode,36815
idigbio,UCSB,has_catalogNumber,36815
idigbio,UCSB,has_scientificName,36814
idigbio,UCSB,has_acceptedNameUsage,0
idigbio,UCSB,has_locality,36803
idigbio,UCSB,has_countryCode,36813
idigbio,UCSB,has_coordinates,17687
idigbio,UCSB,has_image,28
idigbio,UCSB,has_dateIdentified,8
idigbio,UCSB,has_identifiedBy,6
idigbio,UCSB,has_recordedBy,36245
idigbio,UCSB,has_eventDate,36409
idigbio,BLMMD,total,4700
idigbio,BLMMD,has_collectionCode,4700
idigbio,BLMMD,has_catalogNumber,4700
idigbio,BLMMD,has_scientificName,4700
idigbio,BLMMD,has_acceptedNameUsage,4630
idigbio,BLMMD,has_locality,4089
idigbio,BLMMD,has_countryCode,4552
idigbio,BLMMD,has_coordinates,1460
idigbio,BLMMD,has_image,2536
idigbio,BLMMD,has_dateIdentified,1
idigbio,BLMMD,has_identifiedBy,2948
idigbio,BLMMD,has_recordedBy,4611
idigbio,BLMMD,has_eventDate,4500
idigbio,DEWV,total,10482
idigbio,DEWV,has_collectionCode,0
idigbio,DEWV,has_catalogNumber,10482
idigbio,DEWV,has_scientificName,10463
idigbio,DEWV,has_acceptedNameUsage,0
idigbio,DEWV,has_locality,10456
idigbio,DEWV,has_countryCode,10482
idigbio,DEWV,has_coordinates,5043
idigbio,DEWV,has_image,0
idigbio,DEWV,has_dateIdentified,12
idigbio,DEWV,has_identifiedBy,2181
idigbio,DEWV,has_recordedBy,10470
idigbio,DEWV,has_eventDate,10475
idigbio,Bartlet Arboretum,total,3765
idigbio,Bartlet Arboretum,has_collectionCode,3765
